product,bloated_deps_count_1,bloated_deps_loc_1,bloated_files_count_1,bloated_files_loc_1,bloated_functions_count_1,bloated_functions_loc_1,used_direct_deps_count_1,used_direct_deps_loc_1,used_direct_files_count_1,used_direct_files_loc_1,used_direct_functions_count_1,used_direct_functions_loc_1,transitive_bloated_dependencies_count,transitive_bloated_dependencies_loc,transitive_bloated_files_count,transitive_bloated_files_loc,transitive_bloated_functions_count,transitive_bloated_functions_loc,transitive_used_dependencies_count,transitive_used_dependencies_loc,transitive_used_files_count,transitive_used_files_loc,transitive_used_functions_count,transitive_used_functions_loc
pulse2percept/pulse2percept,0,0,610,265758,9820,265883,2,390953,86,125195,517,22278,0,0,0,0,0,-643,0,0,0,0,0,0
konstantinstadler/pymrio,5,481997,1302,568313,13465,221943,3,209680,89,123364,1038,30472,15,178203,738,284991,11313,211934,4,155413,37,48625,219,9986
adrn/gala,1,78783,1129,464863,20967,449692,3,593554,161,207474,1109,42276,1,4063,29,7741,787,26519,2,27827,8,24149,15,461
unioslo/zabbix-cli,1,5435,18,5435,236,3924,0,0,0,0,0,0,4,27363,55,27363,647,18344,0,0,0,0,0,0
py-bson/bson,0,0,16,5348,301,5880,1,7616,2,2268,3,65,1,998,1,998,61,318,0,0,0,0,0,0
tableau/document-api-python,0,0,23,4235,312,4106,1,7110,5,2875,20,385,0,0,0,0,0,0,0,0,0,0,0,0
tableau/tabpy,8,408157,2366,1082749,42422,827959,12,788194,91,113602,645,23373,30,127548,518,183432,9086,126265,5,62858,15,6974,114,1706
tableau/server-client-python,0,0,38,8635,482,7060,3,10548,5,1913,14,242,4,29419,151,40969,1798,27296,1,11652,1,102,1,5
opencobra/cobrapy,3,55457,689,239534,18099,356118,9,430962,47,246885,218,6994,12,195425,1316,647081,16679,281524,7,478427,36,26771,218,4854
python-xlib/python-xlib,1,998,1,998,61,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
galkan/crowbar,0,0,25,8664,723,11614,1,19264,20,10600,150,2912,3,25551,123,38220,2628,28392,2,17807,14,5138,46,697
typemytype/booleanoperations,1,11,286,109055,4576,65437,1,111639,5,2595,20,330,0,0,0,0,0,-16,0,0,0,0,0,0
maurosoria/dirsearch,5,66495,218,105231,4072,57945,8,62011,35,23275,204,4595,7,43761,99,43764,2127,29052,1,279,1,276,1,16
theacodes/nox,2,8610,118,11476,808,8480,2,4542,3,1676,8,258,3,12667,29,12667,738,9582,0,0,0,0,0,0
geodesign/django-raster,0,0,1224,264683,16587,248564,7,373363,185,108680,665,14312,17,120991,490,156518,8831,105168,3,43969,14,8442,80,1159
23andme/yamale,0,0,17,5533,346,4607,1,5923,1,390,1,11,0,0,0,0,0,0,0,0,0,0,0,0
conan-io/conan-package-tools,2,3177,164,26388,2015,21633,1,31237,31,8026,156,2215,10,161169,486,177322,3729,61499,5,27239,22,11086,89,1918
conan-io/conan,0,0,62,15253,1730,24997,8,38305,38,23052,178,3349,5,17468,62,27793,792,18807,1,11652,3,1327,4,82
nitmir/django-cas-server,1,998,797,106836,8869,106466,3,160835,113,54997,415,7155,5,23036,84,34052,1093,22778,3,13141,5,2125,10,204
yunojuno/django-request-token,0,0,811,113087,8323,98797,2,151403,70,38316,318,5598,2,6933,30,7905,439,4520,1,1737,2,765,6,86
