product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,reachable_dependencies,reachable_dependencies_loc,reachable_dependency_files,reachable_dependency_files_loc,reachable_dependency_functions,reachable_dependency_functions_loc,total_dependencies_count,total_dependencies_loc,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,vulnerable_dependencies_reachable,vulnerable_dependencies_bloated,vulnerable_dependencies_reachable_through_functions,vulnerable_dependencies_bloated_through_functions,vulnerable_dependencies_unresolved_through_functions
django-cas-ng/django-cas-ng,17,1057,32,634,10261,135017,1004,199133,2,150947,55,29794,187,3100,12,12,10,48186,949,169339,10082,131917,0,1,0,0,0
cookiecutter/cookiecutter,20,2431,73,1699,3203,55774,220,123892,11,106424,65,30714,247,4319,16,16,5,17468,155,93178,2959,51455,0,1,0,0,0
eliasgranderubio/dagda,50,4835,250,2900,7945,123985,489,176034,15,142700,118,61336,486,10502,21,21,6,33334,371,114698,7459,113483,3,0,1,2,1
gluster/gstatus,6,456,15,364,3774,46956,204,66856,2,23498,12,4846,52,832,7,7,5,43358,192,62010,3723,46124,0,1,0,0,0
mapillary/mapillary_tools,63,12483,488,9091,3506,58185,278,87570,11,49008,44,23465,182,3845,19,19,8,38562,234,64105,3326,54340,0,0,0,0,1
sasview/sasview,334,76015,3751,63078,35312,608621,2028,895971,13,696211,162,143266,966,30096,29,29,16,199760,1866,752705,34352,578525,0,1,0,0,0
regionmask/regionmask,21,4450,160,3006,18061,405743,1016,537906,15,475244,211,244864,1643,54459,30,30,15,62662,805,293042,16456,351284,0,1,0,0,0
scrapinghub/python-scrapinghub,29,4645,329,2912,1030,23671,79,35343,5,19240,13,6950,37,688,8,8,3,16103,66,28393,994,22983,0,1,0,0,0
scrapinghub/shub,38,4607,219,2702,8847,145769,719,254214,12,246381,80,30275,363,7805,15,15,3,7833,640,223939,8485,137964,0,1,0,0,0
yelp/pgctl,18,2495,162,1789,6046,71423,198,112686,4,112371,10,6989,68,1072,6,6,2,315,188,105697,5979,70351,1,0,0,1,0
cuemacro/findatapy,57,18094,500,12645,103002,1975596,7869,2986536,45,1966373,465,391886,2786,88755,139,139,94,1020163,7404,2594650,100255,1886841,0,3,0,0,0
holoviz/datashader,42,17956,986,13912,37548,747418,1849,1021556,15,935141,278,327725,2410,77256,31,31,16,86415,1571,693831,35193,670162,0,1,0,0,0
holoviz/holoviews,139,68078,2941,47149,21193,403012,1546,626940,17,548418,303,287059,1951,55764,37,37,20,78522,1243,339881,19295,347248,0,1,0,0,0
holoviz/geoviews,32,7195,275,4140,33732,607376,2246,979756,13,657225,217,225797,1378,42843,48,48,35,322531,2029,753959,32423,564533,0,1,0,0,0
oca/l10n-switzerland,77,2547,99,1419,3345,55715,503,133058,12,117587,62,26409,273,6389,17,17,5,15471,441,106649,3073,49326,0,0,0,0,1
kovacsbalu/wazeroutecalculator,6,809,54,664,882,22187,73,32714,2,16611,9,4478,16,337,5,5,3,16103,64,28236,866,21850,0,1,0,0,0
johnmaguire/cardinal,105,10000,605,7639,8313,107903,539,183908,0,0,0,0,0,0,22,22,22,183908,539,183908,8313,107903,0,3,0,0,0
edx/auth-backends,9,519,21,200,14670,183706,1455,272597,5,168312,54,19682,259,4756,20,20,15,104285,1401,252915,14412,178950,0,2,0,0,0
edx/repo-tools,68,8091,345,5395,4919,71098,308,101810,8,63292,61,28981,284,5460,17,17,9,38518,247,72829,4638,65638,0,1,0,0,0
edx/edx-drf-extensions,31,2080,91,1234,20608,268360,1770,395855,13,293516,100,39324,413,6695,30,30,17,102339,1670,356531,20200,261665,0,2,0,0,0
edx/xblock-lti-consumer,69,9248,256,5479,30194,402941,2540,603144,29,450034,240,108966,1253,24472,52,52,23,153110,2300,494178,28973,378469,0,1,0,0,0
edx/edx-proctoring,72,11511,358,7142,35233,438780,2778,663048,25,406110,176,73112,608,9921,62,62,37,256938,2602,589936,34645,428859,1,1,0,1,0
edx/edx-enterprise,603,57438,1597,28486,40588,535279,3222,809147,37,421150,267,115101,1218,21917,84,84,47,387997,2955,694046,39417,513362,0,2,0,0,0
edx/edx-search,17,1755,64,1135,27075,342427,2200,512257,5,186477,80,31162,320,5606,41,41,36,325780,2120,481095,26757,336821,0,1,0,0,0
minio/minio-py,26,9111,621,6748,408,7234,35,11300,2,11300,8,2815,16,381,2,2,0,0,27,8485,392,6853,0,0,0,0,1
elastic/rally,80,28414,1938,21470,23730,326201,1188,478556,5,41556,25,13954,139,2535,56,56,51,437000,1163,464602,23592,323666,0,1,0,0,1
elastic/elasticsearch-py,132,71569,1334,62389,639,9923,61,15978,2,15854,22,7649,68,1551,3,3,1,124,39,8329,584,8372,0,1,0,0,0
eternnoir/pytelegrambotapi,31,28660,1342,21010,882,22187,73,32714,4,28111,20,7688,117,2576,5,5,1,4603,53,25026,765,19611,0,0,0,0,1
nvbn/thefuck,213,6778,626,3919,14895,200134,1234,403917,1,27538,2,1369,31,472,48,48,47,376379,1232,402548,14864,199662,0,2,0,0,0
mwclient/mwclient,9,2715,121,2235,1390,32165,157,46926,3,7784,3,1430,6,49,8,8,5,39142,154,45496,1384,32116,0,1,0,0,0
rdmorganiser/rdmo,545,26368,939,7772,28002,339899,2700,509222,20,240800,193,77245,666,10310,66,66,46,268422,2507,431977,27387,329589,0,3,0,0,0
lbl-anp/becquerel,35,11810,401,9060,45478,828126,2510,1211693,21,1010865,236,280890,1744,60458,44,44,23,200828,2274,930803,43775,767668,0,1,0,0,0
punch-cyber/stoq,20,3468,83,1820,1374,30335,92,43822,4,23804,11,5819,26,640,8,8,4,20018,81,38003,1348,29695,0,1,0,0,0
mitmproxy/mitmproxy,238,44899,2129,23239,13636,190216,690,296533,21,154406,89,66031,571,12040,36,36,15,142127,601,230502,13077,178176,0,0,0,0,2
stripe/stripe-python,147,10154,503,5465,883,22268,73,32798,2,16611,8,4321,14,279,5,5,3,16187,65,28477,869,21989,0,1,0,0,0
iconfinder/pyvat,12,1160,41,624,2306,41119,145,60912,4,44809,12,5082,21,387,7,7,3,16103,133,55830,2285,40732,0,1,0,0,0
infoportugal/wagtail-modeltranslation,34,1491,69,1054,21056,263853,2312,408407,8,254294,127,65479,512,10008,33,33,25,154113,2185,342928,20558,253845,0,1,0,0,0
voxpupuli/puppetboard,24,2822,73,1870,7676,113328,456,170536,14,114438,55,31290,181,3591,29,29,15,56098,401,139246,7499,109737,1,1,0,1,0
voxpupuli/pypuppetdb,15,3184,146,1859,882,22187,73,32714,3,27987,20,7737,120,2627,5,5,2,4727,53,24977,762,19560,0,1,0,0,0
metaodi/osmapi,8,2664,86,2279,882,22187,73,32714,2,16611,8,4321,15,283,5,5,3,16103,65,28393,867,21904,0,1,0,0,0
vonage/vonage-python-sdk,25,2226,191,1388,4566,61257,233,92997,9,48875,34,18456,168,3752,15,15,6,44122,199,74541,4399,57505,0,2,0,0,0
xml-security/signxml,12,2239,74,1403,3133,34527,143,50483,4,31363,18,11895,94,1373,6,6,2,19120,125,38588,3042,33154,1,0,0,1,1
python273/vk_api,20,4931,183,3341,1058,25375,91,37404,3,27987,20,7737,119,2623,6,6,3,9417,71,29667,939,22752,0,1,0,0,0
sergeypirogov/webdriver_manager,29,1368,108,956,1455,29765,149,43322,5,25985,23,8819,104,2001,9,9,4,17337,126,34503,1351,27764,0,1,0,0,0
gallopsled/pwntools,178,68564,1667,29929,16122,227231,1356,495796,18,231038,123,70289,800,14087,30,30,12,264758,1233,425507,15329,213144,0,2,0,0,0
chaoss/grimoirelab-perceval,42,19537,876,13322,18128,241578,1237,458118,10,80127,51,33494,259,6636,37,37,27,377991,1186,424624,17870,234942,0,2,0,0,0
plivo/sharq-server,6,597,30,460,11049,114484,745,181398,11,152215,64,40048,320,6048,18,18,7,29183,681,141350,10736,108436,2,0,0,2,0
s4w3d0ff/python-poloniex,4,984,63,734,1026,24337,87,35820,4,31093,24,9362,164,3191,6,6,2,4727,63,26458,862,21146,0,1,0,0,0
dov-vlaanderen/pydov,49,9468,291,6724,12284,283746,705,378615,8,359324,155,175267,1290,41986,14,14,6,19291,550,203348,11029,241760,0,1,0,0,0
appium/python-client,311,16422,444,4693,10465,126224,532,207055,3,152115,28,9715,77,1340,14,14,11,54940,504,197340,10393,124884,0,1,0,0,0
pysmo/aimbat,22,7627,391,6108,25456,527716,1643,791051,7,612125,142,158202,959,30339,23,23,16,178926,1501,632849,24501,497377,0,1,0,0,0
zerodha/pykiteconnect,6,2064,101,1304,19387,235846,1095,382093,13,296250,86,61371,339,6210,26,26,13,85843,1009,320722,19053,229636,2,1,0,2,0
edcd/edmarketconnector,49,23039,624,17961,1407,26628,107,40469,5,35972,26,11873,149,3102,7,7,2,4497,81,28596,1260,23526,1,1,1,0,0
jamesoff/simplemonitor,45,7695,376,5767,30213,380848,1687,577152,20,382331,96,60417,619,12471,39,39,19,194821,1591,516735,29596,368377,0,2,0,0,0
napalm-automation-community/napalm-panos,4,1084,45,897,18644,272715,1400,394149,10,113010,22,12225,96,2543,42,42,32,281139,1378,381924,18553,270172,0,3,0,0,0
ankitects/anki,209,45429,3343,30792,2843,48459,188,72825,8,45659,35,17598,193,4165,15,15,7,27166,153,55227,2650,44294,0,1,0,0,0
bingads/bingads-python-sdk,187,20062,358,2446,15713,214681,1083,419648,4,59289,37,13411,142,2103,37,37,33,360359,1046,406237,15572,212578,0,1,0,0,0
nchammas/flintrock,15,4675,156,3678,6563,77460,342,112014,3,39435,22,9781,85,1006,13,13,10,72579,320,102233,6478,76454,0,1,0,0,0
bigcommerce/bigcommerce-api-python,31,1326,95,597,2881,47704,230,102504,3,18445,12,5001,21,412,12,12,9,84059,218,97503,2860,47292,1,1,0,1,0
getpopper/popper,26,3705,152,2782,6620,106481,680,178644,6,60810,42,15843,136,2851,24,24,18,117834,638,162801,6485,103630,1,1,0,1,0
moogar0880/pytrakt,11,3473,254,2483,1527,33659,164,48412,5,41201,25,9414,130,3089,9,9,4,7211,139,38998,1398,30570,0,1,0,0,0
chebpy/chebpy,19,2593,274,1560,7614,95795,295,150328,0,0,0,0,0,0,9,9,9,150328,295,150328,7614,95795,0,1,0,0,0
insarlab/mintpy,197,59240,1358,49106,45359,964863,3450,1501179,30,1068356,304,328808,1893,72112,73,73,43,432823,3146,1172371,43481,892751,0,2,0,0,0
oasis-open/cti-stix-validator,21,10729,238,5156,4806,69215,397,111015,14,70819,66,28372,276,6004,32,32,18,40196,331,82643,4533,63211,0,1,0,0,0
arm-doe/pyart,130,45280,740,30240,40703,836087,2285,1192465,19,935833,308,378530,2420,83230,58,58,39,256632,1977,813935,38325,752857,0,2,0,0,0
allankp/pytest-testrail,5,856,32,691,2879,48192,166,69599,3,45861,11,4959,21,433,11,11,8,23738,155,64640,2858,47759,0,1,0,0,0
glotaran/pyglotaran,132,17771,685,13353,36946,694527,2245,1060746,12,827070,216,265145,1833,61182,28,28,16,233676,2029,795601,35152,633345,0,1,0,0,0
wind-python/windpowerlib,21,4911,70,3577,10496,254970,588,339124,5,314380,130,160009,1121,37895,11,11,6,24744,458,179115,9409,217075,0,1,0,0,0
softlayer/softlayer-python,522,45683,1327,24623,5675,91250,691,242904,7,221945,103,48506,474,10674,13,13,6,20959,588,194398,5205,80576,0,1,0,0,0
galaxyproject/bioblend,64,14957,750,11750,4976,72104,433,112059,6,63669,17,9329,48,805,18,18,12,48390,416,102730,4928,71299,0,2,0,0,0
galaxyproject/planemo,160,20837,1190,13485,39082,677021,2789,1043770,24,232045,141,76793,851,17138,76,76,52,811725,2648,966977,38242,659883,0,2,0,0,0
pboardman/4scanner,0,0,0,0,882,22187,73,32714,0,0,0,0,0,0,5,5,5,32714,73,32714,882,22187,0,1,0,0,0
dominodatalab/python-domino,50,10186,480,5613,2138,41197,135,59782,8,48057,32,17019,181,4398,12,12,4,11725,103,42763,1958,36799,0,0,0,0,1
stellarcn/py-stellar-base,565,58405,4012,34924,4102,62917,223,90700,11,65476,28,18718,109,2732,19,19,8,25224,195,71982,3998,60185,1,1,0,1,0
mjg59/python-broadlink,15,2048,112,1302,2735,26491,117,39291,1,19173,9,4127,26,265,4,4,3,20118,108,35164,2709,26226,0,0,0,0,1
fffonion/xehentai,23,3840,197,2444,930,22931,75,33672,3,27987,24,9644,147,3329,6,6,3,5685,51,24028,783,19602,0,1,0,0,0
robotika/osgar,348,44194,2207,31473,7024,152759,527,218248,9,196947,92,78157,521,17828,14,14,5,21301,435,140091,6514,134931,1,1,1,0,0
panoptes/pocs,98,17907,872,13414,13116,181967,1037,304732,4,104908,30,17011,91,2161,30,30,26,199824,1007,287721,13032,179806,0,1,0,0,0
nabla-c0d3/sslyze,69,9857,244,5439,3750,41431,166,61841,6,42721,36,19147,193,3417,8,8,2,19120,130,42694,3563,38014,0,0,0,0,1
lucyparsons/openoversight,70,9477,402,5930,64911,864578,4311,1718421,35,915415,206,154454,1000,22561,99,99,64,803006,4105,1563967,63938,842017,1,1,1,0,0
yubico/yubikey-manager,56,16888,742,9522,4755,51082,324,81516,6,52607,54,23241,300,4288,13,13,7,28909,270,58275,4463,46794,1,0,0,1,0
juanifioren/django-oidc-provider,59,3801,127,1679,5472,80737,484,130754,1,56738,11,5205,51,977,8,8,7,74016,473,125549,5421,79760,0,1,0,0,0
zalando-stups/pierone-cli,11,1337,67,929,3226,53343,253,76660,9,45336,40,18538,233,4360,12,12,3,31324,213,58122,2993,48983,0,1,0,0,0
transtats/transtats,99,18834,697,11015,30257,363832,2506,594824,23,374180,183,81114,643,10901,61,61,38,220644,2323,513710,29639,352931,0,2,0,0,0
divio/divio-cli,23,5583,249,4109,3637,64766,257,91063,8,68227,32,21153,158,3793,14,14,6,22836,225,69910,3481,60973,0,1,0,0,0
librosa/librosa,38,29901,345,21536,28090,580398,1498,808138,14,759527,233,267053,1758,73901,24,24,10,48611,1265,541085,26339,506497,0,1,0,0,0
espressif/esptool,84,21339,957,15815,4503,49935,183,73622,7,54502,26,17396,196,3757,9,9,2,19120,157,56226,4308,46178,1,0,0,1,0
lablup/backend.ai-manager,184,36707,1218,24013,27781,366850,1648,560083,30,411653,212,189498,1117,25818,71,71,41,148430,1437,370585,26710,341032,2,0,1,1,0
securityinnovation/pgpy,18,9894,784,6033,3120,31589,138,48256,2,29136,32,13056,187,2387,4,4,2,19120,106,35200,2941,29202,1,0,0,1,0
caktus/aws-web-stacks,25,4622,10,138,12622,167846,1527,433638,2,88286,21,11177,126,1620,23,23,21,345352,1506,422461,12584,166226,0,1,0,0,0
cartodb/carto-python,26,3488,122,1861,3142,52610,324,82326,2,1692,5,1611,25,226,9,9,7,80634,319,80715,3123,52384,0,1,0,0,0
pndurette/gtts,16,1727,51,798,1416,30163,102,44340,4,38117,27,11278,128,2398,7,7,3,6223,75,33062,1288,27765,0,1,0,0,0
musculoskeletalatlasproject/mapclient,181,86037,1112,12725,10881,153357,802,255019,12,160667,53,39595,298,6168,24,24,12,94352,749,215424,10584,147189,0,1,0,0,0
radical-cybertools/radical.entk,24,5932,166,3920,13365,242189,784,369180,6,63630,76,37134,366,8240,18,18,12,305550,708,332046,13000,233949,0,0,0,0,1
erdc/rapidpy,31,9490,160,8267,12961,291180,866,395783,12,378490,145,177254,1197,41943,18,18,6,17293,721,218529,11795,249237,0,1,0,0,0
wagtail/wagtailtrans,37,1716,80,912,22391,276013,2478,461408,7,207439,115,52856,442,7360,32,32,25,253969,2363,408552,21973,268653,1,1,0,1,0
wagtail/wagtail,796,92553,5113,56843,15823,205605,1515,314642,23,285583,327,122805,1463,23231,31,31,8,29059,1188,191837,14446,182374,0,1,0,0,0
onaio/onadata,464,56370,1888,33140,52669,713271,4510,1186171,51,601646,454,206751,2258,43276,119,119,68,584525,4056,979420,50490,669995,1,1,0,1,0
stamusnetworks/scirius,215,29290,925,15631,19345,247706,2047,488690,20,363830,239,115272,1076,18173,42,42,22,124860,1808,373418,18325,229533,0,1,0,0,0
yeatmanlab/pyafq,51,17046,474,13805,49461,1029000,2952,1424035,34,1225757,383,443611,2863,90620,59,59,25,198278,2569,980424,46642,938380,0,1,0,0,0
missionpinball/mpf-mc,114,15961,907,11056,13209,175962,1137,373619,4,268577,127,70637,710,10482,17,17,13,105042,1010,302982,12513,165480,1,1,0,0,0
aio-libs/aiobotocore,31,6030,281,4858,5265,73609,247,106125,13,98318,76,50662,716,10141,17,17,4,7807,171,55463,4591,63468,1,0,0,1,0
aio-libs/sockjs,18,1559,74,1010,1870,30956,96,44196,7,34134,17,8790,99,1926,9,9,2,10062,79,35406,1778,29030,1,0,1,0,0
aio-libs/aiodocker,24,3125,196,2297,2032,32643,97,47268,6,39461,23,16748,152,3393,10,10,4,7807,74,30520,1885,29250,1,0,0,1,0
aio-libs/aiohttp-session,12,992,70,629,1870,30956,96,44196,6,33887,13,6518,60,1257,9,9,3,10309,83,37678,1814,29699,1,0,1,0,0
aio-libs/aiohttp-sse,3,296,27,170,1870,30956,96,44196,2,20962,3,1792,7,90,9,9,7,23234,93,42404,1864,30866,1,0,0,1,0
aio-libs/aiohttp-devtools,13,1370,73,930,4354,62370,490,188447,14,178451,65,36957,274,5871,19,19,5,9996,425,151490,4087,56499,1,0,1,0,0
geoscienceaustralia/eo-datasets,32,14812,479,10432,53651,987391,2695,1357157,27,986633,258,256984,1702,54303,68,68,41,370524,2437,1100173,51992,933088,0,1,0,0,0
geoscienceaustralia/pyrate,51,13701,447,9072,911,14715,143,26841,0,0,0,0,0,0,3,3,3,26841,143,26841,911,14715,0,0,0,0,0
georgetown-ir-lab/quickumls,11,1679,69,1207,23907,383545,1572,629680,5,340258,23,26186,219,4446,39,39,34,289422,1549,603494,23688,379099,0,1,0,0,0
log2timeline/plaso,470,103851,2920,70260,20267,314334,1671,496268,23,245514,183,93278,980,20674,68,68,45,250754,1488,402990,19303,293660,0,2,0,0,0
log2timeline/dfvfs,319,32712,1428,24645,9732,139896,679,247667,4,35829,24,11414,63,1198,32,32,28,211838,655,236253,9671,138698,1,0,0,1,0
qcodes/qcodes,428,87004,3357,63912,53253,887911,3888,1472270,25,694356,256,294293,1898,61473,94,94,69,777914,3632,1177977,51402,826438,0,2,0,0,0
moonso/genmod,60,7050,120,5126,3045,44688,153,62623,7,23004,19,13134,94,2246,16,16,9,39619,134,49489,2952,42442,1,0,0,1,0
sharppy/sharppy,76,29113,1097,24286,1246,28450,92,41328,5,25349,12,7197,46,1224,7,7,2,15979,80,34131,1200,27226,0,0,0,0,1
farrokhi/dnsdiag,8,1388,27,1005,2524,43051,241,63428,5,47325,18,10519,79,1836,8,8,3,16103,223,52909,2446,41215,0,1,0,0,0
wheatoncs/lexos,64,10385,408,8142,58611,1419833,5624,2228034,16,1523001,128,169360,606,28769,71,71,55,705033,5496,2058674,58009,1391064,0,2,0,0,0
nordicsemiconductor/pc-ble-driver-py,12,5126,391,3370,2674,26330,110,38674,2,19554,8,4556,35,501,4,4,2,19120,102,34118,2641,25829,1,0,0,1,0
nordicsemiconductor/pc-nrfutil,41,9170,346,4882,7031,79162,347,130517,12,73471,59,33641,358,6098,17,17,5,57046,288,96876,6680,73064,0,1,0,0,0
frictionlessdata/frictionless-py,336,25713,1108,13186,8817,140088,1245,349387,11,70135,52,26789,237,6955,38,38,27,279252,1193,322598,8581,133133,0,1,0,0,0
frictionlessdata/datapackage-py,15,2845,132,2161,18380,263713,943,444691,11,93929,64,19344,260,5026,35,35,24,350762,879,425347,18121,258687,0,1,0,0,0
f5networks/f5-common-python,308,31824,1808,15168,974,23247,79,34751,3,7472,6,2892,10,124,7,7,4,27279,73,31859,966,23123,0,1,0,0,0
f5networks/f5-openstack-agent,50,16011,738,12367,2494,36204,357,62113,2,28276,14,5857,50,611,8,8,6,33837,343,56256,2444,35593,0,1,0,0,0
optimizely/python-sdk,54,10538,369,7635,4625,63457,250,93021,3,21258,11,6293,21,549,16,16,13,71763,239,86728,4604,62908,0,2,0,0,0
okpy/ok-client,74,8406,472,6086,9425,120151,538,181567,5,52751,33,12701,251,3882,23,23,18,128816,505,168866,9175,116269,1,2,1,0,0
alessandroz/lazagne,247,33751,1356,20009,6666,75359,355,118917,6,89781,36,19615,202,2852,8,8,2,29136,319,99302,6464,72507,0,1,0,0,0
aws-quickstart/taskcat,57,7856,389,5378,34751,613510,2562,1058316,16,179297,88,58480,662,12161,38,38,22,879019,2474,999836,34089,601349,0,1,0,0,0
fishtown-analytics/dbt,199,52533,3473,31542,14119,255251,1114,348934,26,267143,130,58239,383,8940,45,45,19,81791,984,290695,13769,246311,0,1,0,0,0
playpauseandstop/rororo,21,3806,120,2100,7847,106131,648,157103,18,97705,53,24423,172,3254,29,29,11,59398,595,132680,7685,102877,1,0,0,1,0
hyphaapp/hypha,854,53259,2165,20053,16579,277938,1075,390827,3,26741,17,11275,70,1253,40,40,37,364086,1058,379552,16509,276685,0,1,0,0,0
mozilla-services/kinto-dist,19,2501,87,2025,32459,480155,2279,725922,9,102568,35,19464,109,1905,68,68,59,623354,2244,706458,32359,478250,0,1,0,0,0
torchbox/wagtailmedia,30,2002,86,952,20872,261599,2294,405308,13,304717,178,82803,580,10310,32,32,19,100591,2116,322505,20319,251289,0,1,0,0,0
httpie/http-prompt,17,1969,134,1041,14401,218449,1401,474008,14,274566,165,63274,1010,17696,23,23,9,199442,1236,410734,13398,200753,0,1,0,0,0
httpie/httpie,86,10742,500,6168,10525,168601,1127,395447,10,209054,93,39831,445,10096,15,15,5,186393,1034,355616,10086,158505,0,1,0,0,0
spyder-ide/spyder-notebook,22,2614,111,1714,57631,792860,4203,1338550,24,438059,93,57943,367,8578,162,162,138,900491,4110,1280607,57271,784282,0,2,0,0,0
auhau/toggl-cli,20,5318,264,3182,5423,89343,442,134908,19,117075,64,32674,262,5801,26,26,7,17833,378,102234,5162,83542,0,1,0,0,0
zalando/connexion,52,8551,565,5826,4939,78843,282,114367,12,91945,51,38014,155,3150,22,22,10,22422,231,76353,4786,75693,0,1,0,0,0
altschool/dynamic-rest,40,5792,267,4189,10645,130978,1042,191313,5,149030,98,42811,370,6164,13,13,8,42283,944,148502,10286,124814,0,1,0,0,0
pimutils/khal,30,11063,587,8219,2678,40231,108,56318,10,51922,46,38596,461,10758,11,11,1,4396,62,17722,2229,29473,1,0,0,1,0
auth0/auth0-python,61,7748,428,5679,3476,48437,190,71666,4,36443,20,9545,60,1051,9,9,5,35223,170,62121,3416,47386,1,1,0,1,0
unidata/siphon,27,8408,304,4719,11779,273162,652,367110,7,332702,139,168678,1254,41746,14,14,7,34408,513,198432,10560,231416,0,1,0,0,0
unidata/metpy,68,36262,897,26735,33128,723223,1935,1046416,19,903171,286,351523,2378,83595,30,30,11,143245,1649,694893,30799,639628,0,1,0,0,0
epistasislab/tpot,37,7474,147,4629,22331,593533,1432,812308,9,756034,295,348924,2552,95982,19,19,10,56274,1137,463384,19822,497551,0,1,0,0,0
jupyter-incubator/sparkmagic,78,6247,360,3889,49330,1031630,4536,1567276,17,1057728,100,99436,499,12984,105,105,88,509548,4436,1467840,48854,1018646,0,2,0,0,0
byt3bl33d3r/crackmapexec,115,16074,549,11199,34997,483337,3058,954841,33,503778,322,167323,2061,39726,69,69,36,451063,2736,787518,32976,443611,1,1,0,1,0
mailpile/mailpile,158,54346,522,6809,8552,120345,481,178175,9,75668,21,9852,58,683,20,20,11,102507,460,168323,8495,119662,1,0,0,1,0
twisted/axiom,27,10727,686,6880,16606,193618,923,321497,3,10066,15,3492,27,266,20,20,17,311431,908,318005,16580,193352,0,1,0,0,0
twisted/treq,11,2178,110,1523,16876,202887,930,333767,9,225061,52,37513,232,4184,22,22,13,108706,878,296254,16650,198703,0,2,0,0,0
dictation-toolbox/caster,350,22712,1061,9918,3892,60303,256,92024,1,27538,6,1968,47,682,14,14,13,64486,250,90056,3845,59621,0,1,0,0,0
grow/grow,283,32134,2171,23997,13508,191715,1163,396365,27,293072,134,80900,640,12621,47,47,20,103293,1029,315465,12879,179094,3,1,0,2,0
cloudant/python-cloudant,20,7397,294,5338,882,22187,73,32714,3,27987,20,7737,120,2634,5,5,2,4727,53,24977,762,19553,0,1,0,0,0
counterpartyxcp/counterblock,28,6944,250,5807,12179,158765,560,238333,8,54755,21,14275,108,3118,22,22,14,183578,539,224058,12072,155647,1,2,0,0,0
undergreen/ansible-role-mongodb,1,503,8,289,14945,216223,1334,457407,0,0,0,0,0,0,52,52,52,457407,1334,457407,14945,216223,0,2,0,0,0
vanheeringen-lab/gimmemotifs,73,20686,547,16579,66866,1320298,3869,1949370,31,1443082,402,452534,3355,124598,61,61,30,506288,3467,1496836,63558,1195700,0,1,0,0,0
vanheeringen-lab/genomepy,34,6793,275,5322,20974,449123,1286,645777,17,562001,178,187963,1402,45739,28,28,11,83776,1108,457814,19609,403384,0,1,0,0,0
instana/python-sensor,129,11267,477,7568,2233,36764,198,57551,8,36744,34,13163,164,3308,12,12,4,20807,164,44388,2074,33456,0,1,0,0,0
qiniu/python-sdk,36,5842,417,4493,882,22187,73,32714,2,16611,13,6018,67,1440,5,5,3,16103,60,26696,815,20747,0,1,0,0,0
bird-house/flyingpigeon,36,6499,123,4846,23118,391748,1064,590772,11,258926,95,83761,457,12717,40,40,29,331846,969,507011,22662,379031,0,1,0,0,0
ably/ably-python,44,5477,487,3825,2869,45114,206,71100,12,45010,76,26780,449,8054,17,17,5,26090,130,44320,2422,37060,0,0,0,0,1
furlongm/patchman,81,6070,199,3056,11843,145114,1184,249121,12,181509,122,53409,467,7809,22,22,10,67612,1062,195712,11394,137305,1,1,0,1,1
tuw-geo/ascat,18,8138,232,6787,10637,252132,600,333419,6,156363,37,46042,161,6380,17,17,11,177056,563,287377,10476,245752,0,1,0,0,0
rallytools/rallyresttoolkitforpython,15,6347,182,4806,1110,27089,84,39257,4,28985,21,8735,121,2633,7,7,3,10272,63,30522,989,24456,0,1,0,0,0
kklmn/xrt,40,23097,236,6920,30551,586541,2083,996374,8,658150,66,72554,290,10471,35,35,27,338224,2017,923820,30262,576070,0,1,0,0,0
alisw/alibuild,16,3837,135,3230,5567,82261,280,115859,8,89107,51,29374,216,3491,15,15,7,26752,229,86485,5353,78770,0,1,0,0,0
offu/werobot,34,4154,256,2789,900,22647,74,33258,3,17155,12,6197,23,639,6,6,3,16103,62,27061,877,22008,0,1,0,0,0
wikimedia/revscoring,173,21863,650,8784,24869,485992,1347,684818,17,538131,91,85056,467,13172,33,33,16,146687,1256,599762,24403,472820,0,2,0,0,0
ledatelescope/bifrost,91,14967,871,9451,9483,134465,576,203235,2,35154,5,3440,41,800,33,33,31,168081,571,199795,9442,133665,0,2,0,0,0
robotframework/sshlibrary,22,5116,328,3635,7958,75321,417,115279,3,71921,105,30995,670,7050,8,8,5,43358,312,84284,7289,68271,0,1,0,0,0
robotframework/seleniumlibrary,56,8696,467,6124,14822,156799,766,258278,2,180445,110,27681,624,5465,16,16,14,77833,656,230597,14201,151334,0,1,0,0,0
stevenblack/hosts,4,4227,189,3575,915,22441,74,33061,2,16611,10,5512,18,390,6,6,4,16450,64,27549,897,22051,0,1,0,0,0
python-telegram-bot/python-telegram-bot,178,58048,1384,33529,1780,27706,124,39980,7,38974,49,18912,341,5718,8,8,1,1006,75,21068,1440,21988,0,0,0,0,1
lneuhaus/pyrpl,77,22097,1266,13582,24567,529282,1528,711438,9,638986,227,248171,1801,57596,20,20,11,72452,1301,463267,22803,471686,0,1,0,0,0
rmcgibbo/sphinxcontrib-autodoc_doxygen,7,889,53,715,10774,148268,825,325606,6,146462,27,18279,73,1097,25,25,19,179144,798,307327,10715,147171,0,1,0,0,0
easypost/easypost-python,92,3072,203,1788,1045,23955,74,35870,2,16611,10,4793,18,353,6,6,4,19259,64,31077,1027,23602,0,1,0,0,0
