product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,reachable_dependencies,reachable_dependencies_loc,reachable_dependency_files,reachable_dependency_files_loc,reachable_dependency_functions,reachable_dependency_functions_loc,total_dependencies_count,total_dependencies_loc,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,vulnerable_dependencies_reachable,vulnerable_dependencies_bloated,vulnerable_dependencies_reachable_through_functions,vulnerable_dependencies_bloated_through_functions,vulnerable_dependencies_unresolved_through_functions
yashaka/selene,35,6220,443,3079,13323,164197,866,269199,3,134860,31,3391,79,875,23,23,20,134339,835,265808,13245,163322,0,1,0,0,0
wechatpy/wechatpy,110,19471,954,14307,1269,28925,94,41912,6,36187,24,10337,134,3178,9,9,3,5725,70,31575,1135,25747,0,1,0,0,0
liqd/a4-opin,327,13178,401,2419,30531,395639,3411,656949,23,206493,94,48333,369,8225,76,76,53,450456,3317,608616,30180,387414,0,2,0,0,0
liqd/adhocracy4,330,14096,716,5736,25092,333787,2586,501564,17,236062,226,109933,1399,26528,45,45,28,265502,2360,391631,23732,307259,0,2,0,0,0
snare/voltron,44,7615,356,4313,5867,96655,603,243738,12,191229,71,35762,264,5819,25,25,13,52509,532,207976,5606,90836,0,1,0,0,0
fresna/powerplantmatching,20,6915,153,4854,34403,776918,2569,1168407,22,932661,211,243457,1616,56834,39,39,17,235746,2358,924950,32826,720084,0,1,0,0,0
vmware/photon,37,10184,539,7652,919,22903,83,33782,2,16611,9,4478,17,350,6,6,4,17171,74,29304,902,22553,0,1,0,0,0
gwpy/gwpy,153,38210,1176,27420,33817,697990,2163,1035163,19,815622,236,295367,1563,60131,37,37,18,219541,1927,739796,32276,637859,0,1,0,0,1
meejah/txtorcon,27,11954,629,8565,16106,189513,865,312429,9,240736,120,87979,495,8805,18,18,9,71693,745,224450,15622,180708,1,0,0,1,0
bigchaindb/bigchaindb,68,8419,423,5662,10529,150455,599,227527,13,119293,62,39968,231,4574,32,32,19,108234,537,187559,10299,145881,4,1,0,4,0
ktbyers/netmiko,204,17696,910,12932,6479,81547,464,123383,6,78953,33,18257,178,3540,13,13,7,44430,431,105126,6306,78007,0,1,0,0,0
openpathsampling/openpathsampling,210,55010,3181,41029,32013,721770,2226,1043474,15,911177,243,279541,1872,65461,27,27,12,132297,1983,763933,30182,656309,0,1,0,0,0
pagarme/pagarme-python,37,638,81,232,1383,30475,108,44222,2,16611,8,4321,14,279,9,9,7,27611,100,39901,1369,30196,0,1,0,0,0
kapsiry/sikteeri,74,10230,547,6651,17373,225157,1603,366261,11,267117,177,91938,1082,20291,21,21,10,99144,1426,274323,16313,204866,0,1,0,0,0
