product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,reachable_dependencies,reachable_dependencies_loc,reachable_dependency_files,reachable_dependency_files_loc,reachable_dependency_functions,reachable_dependency_functions_loc,total_dependencies_count,total_dependencies_loc,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,bloated_deps_count_1,bloated_deps_loc_1,bloated_files_count_1,bloated_files_loc_1,bloated_functions_count_1,bloated_functions_loc_1,used_direct_deps_count_1,used_direct_deps_loc_1,used_direct_files_count_1,used_direct_files_loc_1,used_direct_functions_count_1,used_direct_functions_loc_1,transitive_bloated_dependencies_count,transitive_bloated_dependencies_loc,transitive_bloated_files_count,transitive_bloated_files_loc,transitive_bloated_functions_count,transitive_bloated_functions_loc,transitive_used_dependencies_count,transitive_used_dependencies_loc,transitive_used_files_count,transitive_used_files_loc,transitive_used_functions_count,transitive_used_functions_loc
dropbox/stone,53,18390,947,13890,248,4619,7,6713,1,5715,1,1098,26,639,2,2,1,998,6,5615,223,3980,1,998,6,5615,223,3982,1,5715,1,1098,26,639,0,0,0,0,0,-2,0,0,0,0,0,0
dropbox/pyhive,16,13596,1149,9473,2217,29980,244,48918,1,7616,1,1613,29,961,3,3,2,41302,243,47305,2188,29019,1,40304,242,46307,2127,28656,1,7616,1,1613,29,961,1,998,1,998,61,363,0,0,0,0,0,0
pysb/pysb,70,25018,890,17798,25823,612327,1810,994181,4,946322,112,115484,552,21636,5,5,1,47859,1698,878697,25278,590691,0,0,1645,830838,23918,559733,4,946322,112,115484,552,21636,1,47859,53,47859,1360,30958,0,0,0,0,0,0
uqfoundation/pathos,49,6203,268,3459,994,12129,55,18349,3,16815,15,7930,112,2204,4,4,1,1534,40,10419,882,9925,1,1534,40,10419,882,9925,3,16815,15,7930,112,2204,0,0,0,0,0,0,0,0,0,0,0,0
python-amazon-mws/python-amazon-mws,35,5890,240,3839,882,22187,73,32714,2,16611,10,4619,17,339,5,5,3,16103,63,28095,866,21848,0,0,10,1979,223,3664,1,5435,8,3456,14,262,3,16103,53,26116,643,18184,1,11176,2,1163,3,77
gcovr/gcovr,40,10356,380,7078,2028,28068,357,138631,4,138631,30,17878,86,1882,4,4,0,0,327,120753,1943,26186,0,0,326,120690,1910,26067,3,138264,29,17574,84,1789,0,0,1,63,33,119,1,367,1,304,2,93
cedadev/cf-checker,3,3580,91,3298,4060,103943,262,142143,2,136793,12,24334,53,2366,6,6,4,5350,250,117809,4007,101577,1,987,4,1180,77,2301,1,2808,1,2615,4,443,3,4363,246,116629,3930,99276,1,133985,11,21719,49,1923
dicompyler/dicompyler-core,8,3035,109,2615,14718,279146,915,550642,4,412084,52,76840,288,10460,14,14,10,138558,863,473802,14430,268686,1,998,415,309812,7491,163488,3,381068,49,72254,273,9923,9,137560,448,163990,6939,105198,1,31016,3,4586,15,537
scikit-build/scikit-build,35,3901,129,2896,1923,27156,116,39692,5,39692,17,7516,114,1941,5,5,0,0,99,32176,1810,25215,0,0,99,32176,1810,25241,5,39692,17,7516,114,1941,0,0,0,0,0,-26,0,0,0,0,0,0
h2non/pook,35,4128,264,3006,786,10890,60,16421,4,8326,7,5269,63,1222,9,9,5,8095,53,11152,723,9668,0,0,21,3017,337,3672,3,7295,5,4278,42,959,5,8095,32,8135,386,5996,1,1031,2,991,21,263
python-visualization/folium,41,8083,165,3170,5534,131916,344,182924,5,166454,26,35586,123,3755,9,9,4,16470,318,147338,5412,128161,0,0,241,109705,3992,100074,3,141045,21,31340,100,3204,4,16470,77,37633,1420,28087,2,25409,5,4246,23,551
python-visualization/branca,6,1862,78,1271,796,10375,27,14600,1,14233,4,4287,23,517,2,2,1,367,23,10313,775,9858,0,0,21,9946,741,9711,1,14233,4,4287,23,517,1,367,2,367,34,147,0,0,0,0,0,0
rwth-ebc/teaser,85,20507,310,12883,12188,265071,643,352183,5,313906,98,147281,924,26616,14,14,9,38277,545,204902,11280,238455,1,29250,244,84371,6767,133381,2,169669,78,114548,808,22345,8,9027,301,120531,4513,105074,3,144237,20,32733,116,4271
instaloader/instaloader,11,5395,350,4248,882,22187,73,32714,3,27987,20,7737,121,2643,5,5,2,4727,53,24977,761,19544,0,0,7,580,153,2068,1,5435,11,4855,83,1856,2,4727,46,24397,608,17476,2,22552,9,2882,38,787
bccp/nbodykit,95,21895,717,17406,18333,460594,1294,630275,5,629277,140,195306,970,36410,6,6,1,998,1154,434969,17369,424184,1,998,1150,434504,17108,404543,4,607373,139,173867,967,36250,0,0,4,465,261,19641,1,21904,1,21439,3,160
lra/mackup,9,1489,50,1163,104,817,20,2068,1,1070,1,579,28,357,2,2,1,998,19,1489,76,460,1,998,19,1489,76,460,1,1070,1,579,28,357,0,0,0,0,0,0,0,0,0,0,0,0
juliotrigo/sqlalchemy-filters,8,846,37,606,10418,148543,256,230641,1,226499,6,10653,13,287,4,4,3,4142,250,219988,10406,148256,1,998,247,216844,10244,146592,1,226499,6,10653,13,287,2,3144,3,3144,162,1664,0,0,0,0,0,0
googleapis/google-api-python-client,73,12793,335,8223,4307,69972,509,137257,4,14620,11,10327,55,1156,18,18,14,122637,498,126930,4252,68816,2,26329,107,26924,1073,18852,3,3707,9,3112,42,999,12,96308,391,100006,3179,49964,1,10913,2,7215,13,157
googleapis/google-auth-library-python,116,27301,1229,18349,1387,17237,222,52158,6,52158,38,19083,215,4329,6,6,0,0,184,33075,1176,12908,0,0,159,27556,606,7315,5,40661,30,13105,152,3274,0,0,25,5519,570,5593,1,11497,8,5978,63,1055
opentok/opentok-python-sdk,16,3387,121,2594,2780,44884,171,69441,7,50618,39,24469,177,3338,11,11,4,18823,132,44972,2605,41546,1,2636,22,5562,462,6711,3,9475,18,6549,51,996,3,16187,110,39410,2143,34835,4,41143,21,17920,126,2342
rasbt/mlxtend,124,17502,422,13412,31540,724312,1933,1066767,13,941626,232,296341,1853,62200,21,21,8,125141,1701,770426,29714,662112,0,0,1011,526223,18599,469509,5,744181,156,217958,1341,39810,8,125141,690,244203,11115,192603,8,197445,76,78383,512,22390
aamalev/aiohttp_apiset,17,3314,300,2439,2530,39367,143,56404,5,37799,17,10347,39,786,14,14,9,18605,126,46057,2497,38581,0,0,68,24202,1792,20636,3,30752,14,6550,34,712,9,18605,58,21855,705,17945,2,7047,3,3797,5,74
totalopenstation/totalopenstation,38,5452,172,3626,523,6583,32,10113,2,10113,4,3050,19,471,2,2,0,0,28,7063,505,6112,0,0,28,7063,505,6153,2,10113,4,3050,19,471,0,0,0,0,0,-41,0,0,0,0,0,0
anaconda-platform/anaconda-client,66,8525,423,5988,1750,35279,130,52208,5,32471,26,12084,75,1716,10,10,5,19737,104,40124,1675,33563,1,2636,52,13264,973,15024,4,21295,22,10667,70,1629,4,17101,52,26860,702,18539,1,11176,4,1417,5,87
kieranwynn/pyquaternion,5,1458,99,1019,3780,98226,238,133985,1,133985,11,23072,30,1263,1,1,0,0,227,110913,3750,96963,0,0,227,110913,3750,96963,1,133985,11,23072,30,1263,0,0,0,0,0,0,0,0,0,0,0,0
pelican-plugins/image-process,4,1452,45,891,7997,115691,995,327902,2,37962,40,22380,112,3944,18,18,16,289940,955,305522,7885,111747,2,14562,113,30144,2010,33224,2,37962,40,22380,112,3944,14,275378,842,275378,5875,78523,0,0,0,0,0,0
pygithub/pygithub,136,32811,2225,22354,3856,54433,228,80581,7,39095,27,10879,109,2281,12,12,5,41486,201,69702,3748,52152,0,0,47,8412,483,8687,4,14628,16,6216,54,1157,5,41486,154,61290,3265,43465,3,24467,11,4663,55,1124
django-es/django-elasticsearch-dsl,27,1974,82,953,2204,39446,180,58753,2,38363,10,6465,30,1142,6,6,4,20390,170,52288,2176,38304,0,0,12,2378,374,3279,1,5996,8,3618,26,357,4,20390,158,49910,1802,35025,1,32367,2,2847,4,785
gosecure/malboxes,4,866,32,635,4795,62737,223,88510,5,58419,18,10467,101,1639,11,11,6,30091,205,78043,4694,61098,0,0,57,18609,1185,16558,4,23977,10,5368,40,880,6,30091,148,59434,3509,44540,1,34442,8,5099,61,759
pynbody/pynbody,63,25640,1245,20600,25653,512667,1459,770755,7,638531,96,120818,647,26162,17,17,10,132224,1363,649937,25011,486505,1,1282,738,425261,14756,304196,4,465914,31,41935,103,4149,9,130942,625,224676,10255,182309,3,172617,65,78883,544,22013
cellprofiler/python-bioformats,9,3791,327,2115,1853,23717,225,40304,0,0,0,0,0,0,1,1,1,40304,225,40304,1853,23717,1,40304,225,40304,1853,23717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bear/python-twitter,11,1831,59,655,3182,55519,381,86232,6,81505,37,20563,229,4624,8,8,2,4727,344,65669,2953,50895,0,0,22,1688,201,2968,2,6786,11,5098,87,1996,2,4727,322,63981,2752,47927,4,74719,26,15465,142,2628
aruhier/virt-backup,24,3483,217,2638,1513,23588,95,39349,5,34812,19,19136,66,1924,8,8,3,4537,76,20213,1448,21664,2,3539,60,15604,1092,15812,4,27196,16,15131,57,1513,1,998,16,4609,356,5852,1,7616,3,4005,9,411
pydicom/pynetdicom,57,38293,946,26433,735,20244,68,122091,1,122091,19,16293,126,4594,1,1,0,0,49,105798,610,15650,0,0,49,105798,610,15696,1,122091,19,16293,126,4594,0,0,0,0,0,-46,0,0,0,0,0,0
asdf-format/asdf,124,27001,1555,20745,5627,119091,353,163496,10,163000,49,51303,205,5566,13,13,3,496,304,112193,5426,113525,2,82,269,106104,4707,105403,7,151651,44,45629,184,5205,1,414,35,6089,719,8122,3,11349,5,5674,21,361
kipe/enocean,16,1273,63,731,893,13364,45,19371,2,15456,5,5498,35,1233,3,3,1,3915,40,13873,859,12131,0,0,33,9958,682,9404,2,15456,5,5498,35,1233,1,3915,7,3915,177,2727,0,0,0,0,0,0
a10networks/acos-client,98,8046,611,4305,987,22972,79,34221,3,17120,11,4786,29,487,7,7,4,17101,68,29435,958,22485,1,998,15,3319,315,4299,2,5944,9,3623,26,410,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
coala/coala,195,22827,804,15637,3825,61159,516,188930,12,168886,57,23302,219,4178,17,17,5,20044,459,165628,3609,56981,1,344,369,133924,2467,33936,6,151490,40,17910,159,2947,4,19700,90,31704,1142,23045,6,17396,17,5392,60,1231
colinduquesnoy/qdarkstylesheet,19,24868,44,1466,290,3268,80,6903,1,2840,1,285,3,90,2,2,1,4063,79,6618,287,3178,0,0,65,2555,96,376,1,2840,1,285,3,90,1,4063,14,4063,191,2802,0,0,0,0,0,0
sorgerlab/indra,304,70280,2791,54135,45972,908577,3416,1521833,22,1225548,151,124836,731,22173,51,51,29,296285,3265,1396997,45246,886404,0,0,593,158467,7737,124859,10,190221,47,31754,240,5674,29,296285,2672,1238530,37509,761545,12,1035327,104,93082,491,16499
lavie/runlike,5,549,79,413,487,7235,16,10130,1,10130,5,2584,17,424,1,1,0,0,11,7546,470,6811,0,0,11,7546,470,6811,1,10130,5,2584,17,424,0,0,0,0,0,0,0,0,0,0,0,0
cogu/autosar,51,17482,1273,15439,55,355,1,437,1,437,1,437,26,163,1,1,0,0,0,0,29,192,0,0,0,0,29,192,1,437,1,437,26,163,0,0,0,0,0,0,0,0,0,0,0,0
globus/globus-cli,227,18475,642,10604,5085,73327,401,111089,7,70601,75,33906,314,6725,14,14,7,40488,326,77183,4781,66602,1,3072,93,21038,2375,24746,5,38935,36,20969,177,3240,6,37416,233,56145,2406,41856,2,31666,39,12937,137,3485
globus/globus-sdk-python,184,21739,617,12619,3638,50124,191,74738,6,50891,29,15298,152,3113,10,10,4,23847,162,59440,3486,47011,0,0,83,15923,1681,15707,4,28339,20,12416,114,2326,4,23847,79,43517,1805,31304,2,22552,9,2882,38,787
open-craft/problem-builder,50,8030,405,4247,16265,205567,1327,299451,12,250593,87,42401,445,7861,23,23,11,48858,1240,257050,15837,197706,0,0,827,122865,8529,100117,3,153681,64,30816,304,5711,11,48858,413,134185,7308,97589,9,96912,23,11585,141,2150
craffel/mir_eval,20,12245,222,10760,12245,311598,922,432255,2,390953,66,86139,394,18185,4,4,2,41302,856,346116,11856,293413,0,0,630,304814,9942,269762,2,390953,66,86139,394,18185,2,41302,226,41302,1914,23651,0,0,0,0,0,0
francescoceruti/linux-show-player,192,20749,1294,11787,1830,22958,75,31403,3,11743,14,8313,70,1293,6,6,3,19660,61,23090,1760,21665,1,540,28,3970,563,7837,3,11743,14,8313,70,1293,2,19120,33,19120,1197,13828,0,0,0,0,0,0
becksteinlab/gromacswrapper,31,15314,437,9664,20626,449373,1311,686999,7,557055,85,130364,504,21991,15,15,8,129944,1226,556635,20127,427382,0,0,344,183557,6702,136109,4,261455,58,77898,421,18660,8,129944,882,373078,13425,291273,3,295600,27,52466,83,3331
storaged-project/blivet,137,40457,2444,27212,256,3062,25,5681,2,5681,8,3870,34,614,2,2,0,0,17,1811,223,2448,0,0,17,1811,223,2470,2,5681,8,3870,34,614,0,0,0,0,0,-22,0,0,0,0,0,0
junzis/pymodes,41,6651,198,5167,4343,105331,315,146111,2,146111,19,22469,51,1661,2,2,0,0,296,123642,4294,103670,0,0,296,123642,4294,103688,2,146111,19,22469,51,1661,0,0,0,0,0,-18,0,0,0,0,0,0
pexpect/pexpect,24,5446,251,3887,40,849,4,995,1,995,2,920,8,329,1,1,0,0,2,75,32,520,0,0,2,75,32,520,1,995,2,920,8,329,0,0,0,0,0,0,0,0,0,0,0,0
micropyramid/django-mfa,29,1375,59,625,13220,161349,1095,318165,3,152381,87,37442,342,5955,18,18,15,165784,1008,280723,12888,155394,1,324,805,114291,8302,97839,2,150644,85,36677,336,5869,14,165460,203,166432,4586,57555,1,1737,2,765,6,86
micropyramid/forex-python,4,411,25,274,945,23773,82,34758,3,18655,12,5509,23,539,6,6,3,16103,70,29249,922,23234,0,0,17,3133,279,5048,2,7479,10,4346,20,462,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
sethblack/python-seo-analyzer,9,957,31,625,2491,45088,145,65369,6,50965,28,15853,146,4036,10,10,4,14404,117,49516,2345,41052,1,5435,71,24035,1570,21939,3,28289,10,9689,63,1825,3,8969,46,25481,775,19113,3,22676,18,6164,83,2211
python-beaver/python-beaver,21,1918,87,1459,5033,88271,376,116199,0,0,0,0,0,0,1,1,1,116199,376,116199,5033,88271,1,116199,376,116199,5033,88271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ics-py/ics-py,34,5709,381,3108,991,14035,80,20242,4,18546,26,10546,112,2167,6,6,2,1696,54,9696,902,11868,0,0,30,6336,470,9227,3,13116,9,6780,29,961,2,1696,24,3360,432,2641,1,5430,17,3766,83,1206
axiros/terminal_markdown_viewer,6,2957,90,2031,1447,19065,346,126145,3,125732,23,8211,66,902,4,4,1,413,323,117934,1381,18163,0,0,314,116995,1204,17084,2,124156,21,7161,59,843,1,413,9,939,177,1079,1,1576,2,1050,7,59
mdanalysis/griddataformats,9,5188,166,2790,10436,289680,711,394102,3,394102,17,24038,79,2668,3,3,0,0,694,370064,10357,287012,0,0,694,370064,10357,287012,3,394102,17,24038,79,2668,0,0,0,0,0,0,0,0,0,0,0,0
pytroll/pyresample,51,18164,737,13372,6531,141749,407,194991,7,193075,61,60727,302,10308,11,11,4,1916,346,134264,6235,131441,1,380,126,38809,2351,38288,5,57507,28,19078,157,3893,3,1536,220,95455,3884,93153,2,135568,33,41649,145,6415
renanivo/pytest-testdox,8,481,27,289,1997,26005,93,36885,1,29250,4,3786,16,192,6,6,5,7635,89,33099,1981,25813,0,0,55,25464,1612,20720,1,29250,4,3786,16,192,5,7635,34,7635,369,5093,0,0,0,0,0,0
docnow/twarc,62,13538,373,9470,2576,52836,234,74810,11,68920,56,28474,305,7249,15,15,4,5890,178,46336,2274,45587,1,165,47,7943,913,14738,5,23764,27,15986,141,3056,3,5725,131,38393,1361,30849,6,45156,29,12488,164,4193
gns3/gns3-gui,333,203845,2275,46226,4187,57213,249,83422,5,62347,20,16215,230,3166,9,9,4,21075,229,67207,3957,54047,0,0,159,46132,2978,39702,5,62347,20,16215,230,3166,4,21075,70,21075,979,14345,0,0,0,0,0,0
snowflakedb/snowflake-connector-python,129,38649,1703,26686,8159,127960,526,196270,18,196270,163,81071,642,14692,18,18,0,0,363,115199,7534,113268,0,0,299,83313,6251,89429,13,157552,148,74239,584,12895,0,0,64,31886,1283,23839,5,38718,15,6832,58,1797
snowflakedb/snowflake-ingest-python,10,676,28,374,10115,156850,669,238409,6,41421,31,13293,124,2056,23,23,17,196988,638,225116,9991,154794,1,37605,135,39077,1824,27699,2,4297,6,2825,59,1027,16,159383,503,186039,8167,127095,4,37124,25,10468,65,1029
scitools/cf-units,12,4411,209,3251,5339,115129,324,160448,2,148218,9,9049,78,1333,5,5,3,12230,315,151399,5261,113796,2,11863,76,18258,1448,15385,1,14233,8,7838,77,1306,1,367,239,133141,3813,98411,1,133985,1,1211,1,27
scitools/cartopy,33,14359,523,11219,14726,276872,913,451437,7,321763,122,118023,663,22881,17,17,10,129674,791,333414,14073,253991,1,2671,345,171121,7092,149961,4,279068,113,110618,626,21639,9,127003,446,162293,6981,104030,3,42695,9,7405,37,1242
tencent/qtaf,49,12274,687,8086,248,4619,7,6713,1,5715,2,4600,95,2305,2,2,1,998,5,2113,153,2314,1,998,5,2113,153,2314,1,5715,2,4600,95,2305,0,0,0,0,0,0,0,0,0,0,0,0
altair-viz/altair,51,54058,1632,14149,11233,255210,606,339540,9,332639,98,150982,951,28599,15,15,6,6901,508,188558,10301,226611,0,0,433,172114,9589,216485,6,320799,95,148685,919,27605,6,6901,75,16444,712,10126,3,11840,3,2297,32,994
dschep/ntfy,29,1570,43,1072,1702,34032,103,47867,2,16611,9,4478,17,350,7,7,5,31256,94,43389,1685,33682,2,15153,41,17273,1042,15496,1,5435,7,3315,14,273,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
akretion/roulier,75,5572,329,3852,5133,83342,510,170405,9,153275,60,33118,254,5793,14,14,5,17130,450,137287,4879,77549,1,660,272,72098,1797,22966,6,83545,19,12107,107,1927,4,16470,178,65189,3082,54583,3,69730,41,21011,147,3866
asyncee/django-easy-select2,18,698,17,199,8965,107638,901,157880,2,150947,59,26441,256,4874,4,4,2,6933,842,131439,8716,102764,0,0,812,123534,8277,98159,1,149210,57,25676,250,4788,2,6933,30,7905,439,4605,1,1737,2,765,6,86
irods/python-irodsclient,43,10064,497,5056,268,3205,20,11148,3,10098,4,3969,46,1375,4,4,1,1050,16,7179,222,1830,1,1050,13,1196,222,1830,2,3700,2,3554,40,1092,0,0,3,5983,0,0,1,6398,2,415,6,283
sec-edgar/sec-edgar,18,3769,128,1998,3789,60279,270,123542,8,65676,41,25448,210,5025,16,16,8,57866,229,98094,3579,55254,2,7225,134,34698,2539,33034,5,47424,34,19951,178,4392,6,50641,95,63396,1040,22220,3,18252,7,5497,32,633
mandiant/flare-floss,34,5724,221,3588,17104,265062,1605,507746,10,317117,82,53059,480,11180,28,28,18,190629,1523,454687,16626,253882,0,0,870,250277,11734,187188,6,275392,43,25115,289,5926,18,190629,653,204410,4892,66694,4,41725,39,27944,191,5254
timotheus/ebaysdk-python,30,4186,188,5817,1352,31379,114,42288,4,35097,23,10257,132,2764,7,7,3,7191,91,32031,1220,28615,0,0,32,5170,474,6438,2,12545,14,7375,94,1977,3,7191,59,26861,746,22177,2,22552,9,2882,38,787
praw-dev/praw,89,20476,744,15254,1105,25355,97,37293,5,21190,18,7079,49,841,8,8,3,16103,79,30214,1058,24514,0,0,14,1902,179,2568,2,4251,8,2349,23,363,3,16103,65,28312,879,21946,3,16939,10,4730,26,478
fdemmer/django-weasyprint,5,273,13,157,17785,242396,1435,366809,10,215342,76,38988,644,18086,18,18,8,151467,1359,327821,17143,224310,0,0,880,153205,9031,112857,2,175960,48,22755,335,11915,8,151467,479,174616,8112,111453,8,39382,28,16233,309,6171
mitgcm/xmitgcm,17,8926,190,5059,17699,392115,865,506248,10,485867,228,287851,2140,67529,19,19,9,20381,637,218397,15582,324586,0,0,125,44445,4672,103535,3,154540,90,110095,838,22732,9,20381,512,173952,10910,221051,7,331327,138,177756,1302,44797
kubernetes-client/python,669,236021,7734,166290,4985,83674,517,146707,11,86506,50,19615,279,6346,17,17,6,60201,467,127092,4707,77328,1,16090,119,28463,1517,24869,7,24553,28,12180,184,3926,5,44111,348,98629,3190,52459,4,61953,22,7435,95,2420
corydolphin/flask-cors,6,803,27,468,2984,41581,140,60392,2,31661,9,7956,20,317,9,9,7,28731,131,52436,2964,41264,0,0,17,4155,346,6326,1,8791,5,4636,7,114,7,28731,114,48281,2618,34938,1,22870,4,3320,13,203
geex-arts/django-jet,44,4125,245,2313,8965,107638,901,157880,2,150947,106,49609,489,7666,4,4,2,6933,795,108271,8498,99972,0,0,765,100366,8059,95555,1,149210,104,48844,483,7580,2,6933,30,7905,439,4417,1,1737,2,765,6,86
ewels/multiqc,392,57481,1127,48915,23464,464229,2013,807195,17,548438,133,115925,559,19044,34,34,17,258757,1880,691270,22907,445185,2,103864,782,283416,10109,208355,10,238910,85,59358,309,8164,15,154893,1098,407854,12798,236830,7,309528,48,56567,250,10880
spatialaudio/nbsphinx,6,2581,73,1461,16182,226980,1284,443678,11,155987,85,43279,346,6706,49,49,38,287691,1199,400399,15863,220274,0,0,327,98232,7188,78780,4,130599,64,32367,270,4979,38,287691,872,302167,8675,141494,7,25388,21,10912,76,1727
spatialaudio/python-sounddevice,6,3436,107,2350,1295,16136,35,22005,2,19120,10,7186,127,2369,3,3,1,2885,25,14819,1168,13767,0,0,9,3594,433,4101,1,8157,7,4563,124,2216,1,2885,16,11225,735,9666,1,10963,3,2623,3,153
modlinltd/django-advanced-filters,15,1208,58,645,63,1586,9,2044,1,2044,4,1771,21,898,1,1,0,0,5,273,42,688,0,0,5,273,42,688,1,2044,4,1771,21,898,0,0,0,0,0,0,0,0,0,0,0,0
ab-ce/abce,57,5675,363,3648,31040,525481,1385,783026,2,227970,13,20696,39,1358,23,23,21,555056,1372,762330,31001,524123,3,318687,512,319282,10317,242930,1,1471,3,876,7,100,18,236369,860,443048,20684,281193,1,226499,10,19820,32,1258
django-wiki/django-wiki,147,10764,484,5464,12191,154401,1193,229775,7,182025,191,77110,1030,18157,18,18,11,47750,1002,152665,11201,136244,3,34329,937,137504,10320,128081,5,179178,188,76003,1018,17971,8,13421,65,15161,881,8163,2,2847,3,1107,12,186
chyroc/wechatsogou,11,1797,52,1385,6071,101859,503,155388,6,117911,22,15007,56,1144,15,15,9,37477,481,140381,6015,100715,3,10146,409,103037,4858,74363,5,106735,20,13844,53,1067,6,27331,72,37344,1157,26352,1,11176,2,1163,3,77
keeper-security/commander,203,64704,2323,46955,15898,208863,1090,328172,18,248362,194,88168,911,17448,37,37,19,79810,896,240004,15004,191415,4,25155,317,85663,6273,76462,10,111696,134,51188,626,12026,15,54655,579,154341,8731,114953,8,136666,60,36980,285,5422
saulpw/visidata,221,29361,2090,18105,548,7401,30,10611,1,1583,2,1050,7,59,4,4,3,9028,28,9561,541,7342,1,7616,25,8149,438,6757,1,1583,2,1050,7,59,2,1412,3,1412,103,585,0,0,0,0,0,0
lukasschwab/arxiv.py,3,838,44,519,15432,231685,1356,491049,1,5823,7,2124,13,713,38,38,37,485226,1349,488925,15419,230972,0,0,25,3699,274,2289,1,5823,7,2124,13,713,37,485226,1324,485226,15145,228683,0,0,0,0,0,0
jazzband/pip-tools,20,4222,160,3036,8312,125757,620,228241,5,190825,58,29508,305,5705,8,8,3,37416,562,198733,8008,120052,2,33353,542,194247,7771,116749,3,189274,55,28380,268,5078,1,4063,20,4486,237,3303,2,1551,3,1128,37,627
jazzband/prettytable,3,2702,132,1983,6,283,5,6398,1,6398,2,415,6,283,1,1,0,0,3,5983,0,0,0,0,3,5983,0,0,1,6398,2,415,6,283,0,0,0,0,0,0,0,0,0,0,0,0
jazzband/django-auditlog,46,5343,259,3495,9329,113901,920,166494,3,158563,108,52795,521,9143,6,6,3,7931,812,113699,8828,104758,0,0,781,104796,8328,99984,2,156826,106,52030,515,9057,3,7931,31,8903,500,4774,1,1737,2,765,6,86
