project,package_name,status,activation_status
getpatchwork/patchwork,cryptography,Unresolved,Bloated
jpmens/mqttwarn,certifi,Transitive,Bloated
threat9/routersploit,certifi,Transitive,Bloated
threat9/routersploit,cryptography,Transitive,Inactive
juniper/py-junos-eznc,cryptography,Transitive,Bloated
juniper/jsnapy,cryptography,Transitive,Bloated
nci-gdc/gdcdictionary,certifi,Transitive,Bloated
seisman/hinetpy,certifi,Transitive,Bloated
biosustain/cameo,certifi,Transitive,Bloated
biosustain/cameo,py,Transitive,Bloated
sentinelsat/sentinelsat,certifi,Transitive,Bloated
gmplot/gmplot,certifi,Transitive,Bloated
codecov/codecov-python,certifi,Transitive,Bloated
lordfriend/albireo,certifi,Unresolved,Bloated
lordfriend/albireo,cryptography,Unresolved,Inactive
codalab/codalab-worksheets,requests,Transitive,Active
codalab/codalab-worksheets,Pygments,Direct,Bloated
codalab/codalab-worksheets,py,Transitive,Bloated
codalab/codalab-worksheets,cryptography,Transitive,Bloated
codalab/codalab-worksheets,aiohttp,Transitive,Bloated
codalab/codalab-worksheets,certifi,Transitive,Undefined
nasa/apod-api,certifi,Unresolved,Bloated
lxc/pylxd,certifi,Transitive,Bloated
lxc/pylxd,cryptography,Direct,Inactive
mpib/lagerregal,cryptography,Unresolved,Bloated
mpib/lagerregal,certifi,Unresolved,Bloated
vida-nyu/reprozip,certifi,Unresolved,Bloated
google/openhtf,certifi,Transitive,Bloated
google/openhtf,cryptography,Transitive,Bloated
diyan/pywinrm,certifi,Transitive,Bloated
diyan/pywinrm,cryptography,Transitive,Inactive
sage-bionetworks/synapsepythonclient,certifi,Transitive,Bloated
sage-bionetworks/synapsepythonclient,cryptography,Transitive,Bloated
planetlabs/planet-client-python,certifi,Transitive,Undefined
docker/docker-py,requests,Direct,Active
docker/docker-py,certifi,Transitive,Bloated
docker/docker-py,cryptography,Transitive,Inactive
wger-project/wger,certifi,Transitive,Bloated
wger-project/wger,requests,Transitive,Inactive
golemhq/golem,certifi,Transitive,Bloated
mixpanel/mixpanel-python,certifi,Transitive,Bloated
django-cas-ng/django-cas-ng,certifi,Transitive,Bloated
cookiecutter/cookiecutter,certifi,Transitive,Bloated
gluster/gstatus,cryptography,Transitive,Bloated
sasview/sasview,cryptography,Transitive,Bloated
scrapinghub/python-scrapinghub,certifi,Transitive,Bloated
scrapinghub/shub,certifi,Transitive,Bloated
yelp/pgctl,py,Direct,Inactive
cuemacro/findatapy,certifi,Transitive,Bloated
cuemacro/findatapy,aiohttp,Transitive,Bloated
cuemacro/findatapy,cryptography,Transitive,Bloated
holoviz/holoviews,certifi,Transitive,Bloated
holoviz/geoviews,certifi,Transitive,Bloated
oca/l10n-switzerland,certifi,Unresolved,Undefined
kovacsbalu/wazeroutecalculator,certifi,Transitive,Bloated
johnmaguire/cardinal,requests,Unresolved,Bloated
johnmaguire/cardinal,cryptography,Unresolved,Bloated
johnmaguire/cardinal,certifi,Unresolved,Bloated
edx/auth-backends,certifi,Transitive,Bloated
edx/auth-backends,cryptography,Transitive,Bloated
edx/repo-tools,certifi,Transitive,Bloated
edx/edx-drf-extensions,certifi,Transitive,Bloated
edx/edx-drf-extensions,cryptography,Transitive,Bloated
edx/xblock-lti-consumer,certifi,Transitive,Bloated
edx/edx-proctoring,certifi,Transitive,Bloated
edx/edx-proctoring,cryptography,Transitive,Inactive
edx/edx-enterprise,certifi,Transitive,Bloated
edx/edx-enterprise,cryptography,Direct,Bloated
minio/minio-py,certifi,Direct,Undefined
elastic/rally,cryptography,Transitive,Bloated
elastic/rally,certifi,Direct,Undefined
elastic/elasticsearch-py,certifi,Transitive,Bloated
eternnoir/pytelegrambotapi,certifi,Transitive,Undefined
nvbn/thefuck,cryptography,Transitive,Bloated
nvbn/thefuck,certifi,Transitive,Bloated
mwclient/mwclient,certifi,Transitive,Bloated
rdmorganiser/rdmo,certifi,Transitive,Bloated
rdmorganiser/rdmo,cryptography,Transitive,Bloated
rdmorganiser/rdmo,py,Transitive,Bloated
punch-cyber/stoq,certifi,Transitive,Bloated
mitmproxy/mitmproxy,certifi,Direct,Undefined
mitmproxy/mitmproxy,cryptography,Direct,Undefined
stripe/stripe-python,certifi,Transitive,Bloated
iconfinder/pyvat,certifi,Transitive,Bloated
infoportugal/wagtail-modeltranslation,certifi,Transitive,Bloated
voxpupuli/puppetboard,certifi,Transitive,Bloated
voxpupuli/puppetboard,requests,Transitive,Inactive
voxpupuli/pypuppetdb,certifi,Transitive,Bloated
metaodi/osmapi,certifi,Transitive,Bloated
vonage/vonage-python-sdk,certifi,Transitive,Bloated
vonage/vonage-python-sdk,cryptography,Transitive,Bloated
xml-security/signxml,cryptography,Direct,Inactive
xml-security/signxml,certifi,Direct,Undefined
python273/vk_api,certifi,Transitive,Bloated
sergeypirogov/webdriver_manager,certifi,Transitive,Bloated
gallopsled/pwntools,certifi,Transitive,Bloated
gallopsled/pwntools,cryptography,Transitive,Bloated
chaoss/grimoirelab-perceval,cryptography,Direct,Bloated
chaoss/grimoirelab-perceval,certifi,Transitive,Bloated
plivo/sharq-server,gunicorn,Direct,Inactive
plivo/sharq-server,Werkzeug,Direct,Inactive
s4w3d0ff/python-poloniex,certifi,Transitive,Bloated
dov-vlaanderen/pydov,certifi,Transitive,Bloated
appium/python-client,certifi,Transitive,Bloated
pysmo/aimbat,certifi,Transitive,Bloated
zerodha/pykiteconnect,certifi,Transitive,Bloated
zerodha/pykiteconnect,autobahn,Direct,Inactive
zerodha/pykiteconnect,cryptography,Transitive,Inactive
edcd/edmarketconnector,requests,Unresolved,Active
edcd/edmarketconnector,certifi,Unresolved,Bloated
jamesoff/simplemonitor,certifi,Transitive,Bloated
jamesoff/simplemonitor,cryptography,Transitive,Bloated
napalm-automation-community/napalm-panos,certifi,Transitive,Bloated
napalm-automation-community/napalm-panos,lxml,Transitive,Bloated
napalm-automation-community/napalm-panos,cryptography,Direct,Bloated
ankitects/anki,certifi,Unresolved,Bloated
bingads/bingads-python-sdk,certifi,Transitive,Bloated
nchammas/flintrock,cryptography,Direct,Bloated
bigcommerce/bigcommerce-api-python,certifi,Transitive,Bloated
bigcommerce/bigcommerce-api-python,requests,Direct,Inactive
getpopper/popper,certifi,Unresolved,Bloated
getpopper/popper,GitPython,Unresolved,Inactive
moogar0880/pytrakt,certifi,Unresolved,Bloated
chebpy/chebpy,py,Transitive,Bloated
oasis-open/cti-stix-validator,certifi,Transitive,Bloated
arm-doe/pyart,aiohttp,Transitive,Bloated
arm-doe/pyart,certifi,Transitive,Bloated
allankp/pytest-testrail,certifi,Transitive,Bloated
glotaran/pyglotaran,certifi,Transitive,Bloated
wind-python/windpowerlib,certifi,Transitive,Bloated
softlayer/softlayer-python,certifi,Transitive,Bloated
galaxyproject/bioblend,certifi,Transitive,Bloated
galaxyproject/bioblend,aiohttp,Transitive,Bloated
pboardman/4scanner,certifi,Unresolved,Bloated
dominodatalab/python-domino,certifi,Transitive,Undefined
mjg59/python-broadlink,cryptography,Direct,Undefined
fffonion/xehentai,certifi,Transitive,Bloated
robotika/osgar,requests,Transitive,Active
robotika/osgar,certifi,Transitive,Bloated
panoptes/pocs,certifi,Transitive,Bloated
nabla-c0d3/sslyze,cryptography,Direct,Undefined
lucyparsons/openoversight,cryptography,Transitive,Active
lucyparsons/openoversight,certifi,Transitive,Bloated
yubico/yubikey-manager,cryptography,Direct,Inactive
