product,NBD,NBFD,NBMD,NBD-LOC,NBFD-LOC,NBMD-LOC,PBD,PBFD,PBMD,PBD-LOC,PBFD-LOC,PBMD-LOC,unique_unresolved_count,unique_resolved_count,unresolved_count,resolved_count
aruhier/virt-backup,3,76,1448,4537,20213,21664,37.5,80.0,95.70389953734303,11.530153244046863,51.368522707057366,91.84331015770731,23,23,74,67
golemfactory/clay,5,151,2931,29226,55143,38296,83.33333333333334,98.05194805194806,97.96122994652407,51.48685786766261,97.14431682052005,97.67643533042569,0,16,47,36
pydicom/pynetdicom,0,49,610,0,105798,15650,0.0,72.05882352941177,82.99319727891157,0.0,86.65503599773939,77.30685635249951,4,85,10,323
bobbuildtool/bob,6,30,596,12851,12851,9378,100.0,100.0,100.0,100.0,100.0,100.0,0,26,0,39
asdf-format/asdf,3,304,5426,496,112193,113525,23.076923076923077,86.11898016997166,96.42793673360582,0.30337133630180557,68.62125067279933,95.32626310972282,16,209,225,339
kipe/enocean,1,40,859,3915,13873,12131,33.33333333333333,88.88888888888889,96.1926091825308,20.21062412885241,71.61736616591813,90.77372044298114,0,15,0,16
a10networks/acos-client,4,68,958,17101,29435,22485,57.14285714285714,86.07594936708861,97.06180344478217,49.972239268285556,86.01443558049151,97.88002786000348,5,42,23,49
coala/coala,5,459,3609,20044,165628,56981,29.411764705882355,88.95348837209302,94.35294117647058,10.609220346159953,87.66633144550892,93.16862604032113,6,106,11,188
colinduquesnoy/qdarkstylesheet,1,79,287,4063,6618,3178,50.0,98.75,98.9655172413793,58.858467333043606,95.87136027813995,97.24602203182374,75,2,87,2
sorgerlab/indra,29,3265,45246,296285,1396997,886404,56.86274509803921,95.57962529274005,98.42077786478725,19.46895618638839,91.79699743664384,97.55959043647374,457,20350,22862,155302
lavie/runlike,0,11,470,0,7546,6811,0.0,68.75,96.50924024640656,0.0,74.49160908193485,94.13959917069799,0,8,0,8
stencila/hub,33,1076,16511,340083,372689,285660,86.8421052631579,94.22066549912435,98.5907923807249,84.64935097260768,92.76524249853767,97.89078697119751,152,1259,868,2460
cogu/autosar,0,0,29,0,0,192,0.0,0.0,52.72727272727272,0.0,0.0,54.08450704225351,0,28,0,236
globus/globus-cli,7,326,4781,40488,77183,66602,50.0,81.29675810473816,94.02163225172075,36.44645284411598,69.47852622671911,90.82875339233843,2,188,22,598
globus/globus-sdk-python,4,162,3486,23847,59440,47011,40.0,84.81675392670157,95.82188015393072,31.907463405496532,79.53116219326179,93.7894022823398,0,80,38,96
open-craft/problem-builder,11,1240,15837,48858,257050,197706,47.82608695652174,93.4438583270535,97.36858284660313,16.315858020176925,85.84042130432023,96.17594263670726,41,281,133,743
craffel/mir_eval,2,856,11856,41302,346116,293413,50.0,92.84164859002169,96.82319314005716,9.555008039236098,80.07217961619877,94.163954839248,28,18667,22154,151977
francescoceruti/linux-show-player,3,61,1760,19660,23090,21665,50.0,81.33333333333333,96.17486338797814,62.60548355252683,73.52800687832372,94.36797630455615,4,31,7,46
becksteinlab/gromacswrapper,8,1226,20127,129944,556635,427382,53.333333333333336,93.5163996948894,97.58072335886744,18.914729133521302,81.02413540631063,95.10629254539103,41,21062,23744,157923
storaged-project/blivet,0,17,223,0,1811,2448,0.0,68.0,87.109375,0.0,31.878190459426158,79.94774657086872,4,11,22,14
junzis/pymodes,0,296,4294,0,123642,103670,0.0,93.96825396825396,98.87174763988027,0.0,84.62196549198897,98.4230663337479,3,9,35,9
pexpect/pexpect,0,2,32,0,75,520,0.0,50.0,80.0,0.0,7.537688442211055,61.24852767962309,0,1,0,1
scipopt/pyscipopt,1,3,1,198,198,19,100.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0
micropyramid/django-mfa,15,1008,12888,165784,280723,155394,83.33333333333334,92.05479452054794,97.48865355521936,52.10629704712964,88.23189225716216,96.30924269750665,16,188,283,412
micropyramid/forex-python,3,70,922,16103,29249,23234,50.0,85.36585365853658,97.56613756613757,46.328902698659306,84.15041141607688,97.73272199554116,0,50,5,79
sethblack/python-seo-analyzer,4,117,2345,14404,49516,41052,40.0,80.6896551724138,94.13890004014452,22.034909513683857,75.74844345178907,91.0486160397445,7,80,30,116
loris-imageserver/loris,3,271,3999,138364,138364,101424,100.0,100.0,100.0,100.0,100.0,100.0,1,2,1,2
python-beaver/python-beaver,1,376,5033,116199,116199,88271,100.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0
opennetworkingfoundation/tapi,9,82,1156,39921,39921,27163,100.0,100.0,100.0,100.0,100.0,100.0,0,35,5,38
ics-py/ics-py,2,54,902,1696,9696,11868,33.33333333333333,67.5,91.01917255297678,8.378618713565853,47.90040509831044,84.56002850017813,15,163,94,343
axiros/terminal_markdown_viewer,1,323,1381,413,117934,18163,25.0,93.35260115606935,95.4388389771942,0.3274010067779143,93.49082405168654,95.26881720430107,0,351,0,393
polyaxon/polyaxon,35,2162,22129,714645,714645,402549,100.0,100.0,100.0,100.0,100.0,100.0,64,304,2318,3927
mdanalysis/griddataformats,0,694,10357,0,370064,287012,0.0,97.60900140646976,99.24300498275201,0.0,93.900563813429,99.07898370615852,23,18357,21723,151369
pytroll/pyresample,4,346,6235,1916,134264,131441,36.36363636363637,85.01228501228502,95.46776910120963,0.9826094537696611,68.85651132616377,92.72799102639172,45,171,892,298
renanivo/pytest-testdox,5,89,1981,7635,33099,25813,83.33333333333334,95.6989247311828,99.19879819729594,20.699471329808866,89.7356649044327,99.26168044606807,1,31,3,56
docnow/twarc,4,178,2274,5890,46336,45587,26.666666666666668,76.06837606837607,88.27639751552795,7.8732789733992785,61.9382435503275,86.28018775077598,1,148,67,411
gns3/gns3-gui,4,229,3957,21075,67207,54047,44.44444444444444,91.96787148594377,94.50680678289946,25.263120040277144,80.56268130708926,94.46629262580183,2,61,431,91
gns3/gns3-server,8,326,6592,24617,103761,90868,33.33333333333333,84.67532467532467,93.87638849330675,17.21697288450913,72.56978199900686,91.8991079916665,3,177,998,459
snowflakedb/snowflake-connector-python,0,363,7534,0,115199,113268,0.0,69.01140684410646,92.3397475180782,0.0,58.69414581953431,88.51828696467646,6,358,1048,575
snowflakedb/snowflake-ingest-python,17,638,9991,196988,225116,154794,73.91304347826086,95.3662182361734,98.7740978744439,82.62607535789337,94.42428767370359,98.68919349697163,26,441,796,660
snowflakedb/snowflake-sqlalchemy,20,875,18707,233947,389731,279620,95.23809523809523,98.4251968503937,99.75470591372047,55.7357716507482,92.8499105404974,99.49331777230611,369,402,608,685
scitools/cf-units,3,315,5261,12230,151399,113796,60.0,97.22222222222221,98.53905225697697,7.622407259672916,94.36016653370562,98.84216835028533,70,80,154,117
scitools/cartopy,10,791,14073,129674,333414,253991,58.82352941176471,86.63745892661555,95.56566616868125,28.72471684864112,73.85615268575681,91.73589239793117,38,2858,2362,6819
tencent/qtaf,1,5,153,998,2113,2314,50.0,71.42857142857143,61.693548387096776,14.866676597646359,31.476240131088932,50.09742368478025,2,4,2,4
altair-viz/altair,6,508,10301,6901,188558,226611,40.0,83.82838283828383,91.70301789370605,2.0324556753254406,55.53336867526654,88.79393440695897,14,8546,3683,28992
faforever/client,27,517,8455,94748,165453,127824,65.85365853658537,89.60138648180242,96.45220168834132,48.13599276547751,84.05712427730981,95.53220430187889,805,1152,3078,2622
dschep/ntfy,5,94,1685,31256,43389,33682,71.42857142857143,91.2621359223301,99.0011750881316,65.29759542064471,90.64491194351014,98.97155618241655,3,40,9,55
akretion/roulier,5,450,4879,17130,137287,77549,35.714285714285715,88.23529411764706,95.05162672900838,10.05252193304187,80.56512426278572,93.04912289121931,4,98,60,209
asyncee/django-easy-select2,2,842,8716,6933,131439,102764,50.0,93.45172031076582,97.22253206915784,4.391309855586521,83.25247023055485,95.47185938051618,3,57,11,192
