product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,total_dependencies_count,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,vulnerable_dependencies_reachable,vulnerable_dependencies_bloated,vulnerable_dependencies_reachable_through_functions,vulnerable_dependencies_bloated_through_functions,vulnerable_dependencies_unresolved_through_functions
bear/python-twitter,11,1831,59,655,3182,55519,381,86232,8,2,4727,343,64245,2949,50879,0,1,0,0,0
a10networks/acos-client,98,8046,611,4305,987,22972,79,34221,7,3,16103,67,28437,957,22483,0,1,0,0,0
coala/coala,195,22827,804,15637,3825,61159,516,188930,17,5,20044,459,165628,3637,57397,0,1,0,0,0
sorgerlab/indra,304,70280,2791,54135,45972,908577,3416,1521833,51,31,357349,3250,1377038,45084,876567,0,1,0,0,0
stencila/hub,282,30681,1067,16633,16747,291815,1142,401755,38,33,340083,1112,387701,16597,288498,0,2,0,0,0
globus/globus-cli,227,18475,642,10604,5085,73327,401,111089,14,7,40488,328,77676,4798,66952,1,1,0,1,0
globus/globus-sdk-python,184,21739,617,12619,3638,50124,191,74738,10,4,23847,163,59534,3492,47111,1,1,0,1,0
micropyramid/django-mfa,29,1375,59,625,13220,161349,1095,318165,18,15,165784,993,274464,12846,154859,0,1,0,0,0
micropyramid/forex-python,4,411,25,274,945,23773,82,34758,6,3,16103,70,29249,922,23234,0,1,0,0,0
sethblack/python-seo-analyzer,9,957,31,625,2491,45088,145,65369,10,4,14404,119,50090,2357,41288,1,0,0,0,1
opennetworkingfoundation/tapi,0,0,0,0,1156,27163,82,39921,9,9,39921,82,39921,1156,27163,0,1,0,0,0
polyaxon/polyaxon,0,0,0,0,22129,402549,2162,714645,35,35,714645,2162,714645,22129,402549,0,1,0,0,0
pytroll/satpy,191,60570,2978,40416,30996,703928,1788,936988,43,17,56635,1436,556735,28047,607440,1,1,0,1,0
pytroll/pyresample,51,18164,737,13372,6531,141749,407,194991,11,3,1536,336,123592,6193,127169,1,1,0,1,0
docnow/twarc,62,13538,373,9470,2576,52836,234,74810,15,2,4727,177,45702,2274,45584,1,1,0,1,0
gns3/gns3-gui,333,203845,2275,46226,4187,57213,249,83422,9,4,21075,229,67207,3990,54495,0,1,0,0,0
gns3/gns3-server,269,55018,2208,30856,7022,98878,385,142981,24,7,23837,325,103235,6622,91389,1,1,1,0,0
snowflakedb/snowflake-connector-python,129,38649,1703,26686,8159,127960,526,196270,18,1,576,428,137824,7747,118292,2,0,0,1,1
snowflakedb/snowflake-ingest-python,10,676,28,374,10115,156850,669,238409,23,16,195990,639,224602,10000,155022,2,1,0,2,0
snowflakedb/snowflake-sqlalchemy,11,2806,221,1782,18753,281044,889,419743,21,20,233947,875,389731,18707,279619,0,2,0,0,0
scitools/iris-grib,10,7054,212,5782,33691,689835,1976,1012481,41,27,349277,1851,868838,32808,660079,0,1,0,0,0
scitools/cartopy,33,14359,523,11219,14726,276872,913,451437,17,10,129674,816,343256,14160,254236,0,1,0,0,0
faforever/client,190,26855,1980,20111,8766,133802,577,196834,41,25,88976,515,159891,8449,127568,0,1,0,0,0
dschep/ntfy,29,1570,43,1072,1702,34032,103,47867,7,4,30648,93,42781,1677,33381,0,1,0,0,0
akretion/roulier,75,5572,329,3852,5133,83342,510,170405,14,5,17130,484,150779,4993,80819,0,1,0,0,0
sec-edgar/sec-edgar,18,3769,128,1998,3789,60279,270,123542,16,7,57086,237,100662,3621,56083,1,1,0,1,0
ckan/ckanext-harvest,39,7662,332,5960,2583,44957,142,62271,9,5,17348,129,53486,2549,44116,0,1,0,0,0
timotheus/ebaysdk-python,30,4186,188,5817,1352,31379,114,42288,7,3,7191,94,34551,1237,28948,0,1,0,0,0
praw-dev/praw,89,20476,744,15254,1105,25355,97,37293,8,3,16103,79,30214,1058,24514,0,1,0,0,0
kubernetes-client/python,669,236021,7734,166290,4985,83674,517,146707,17,6,60201,460,123829,4689,77086,1,0,0,0,1
ewels/multiqc,392,57481,1127,48915,23464,464229,2013,807195,34,16,257659,1862,680050,22837,445037,0,1,0,0,0
spatialaudio/nbsphinx,6,2581,73,1461,16182,226980,1284,443678,49,38,287691,1206,404003,15867,220849,0,1,0,0,0
oauthlib/oauthlib,69,11933,396,8581,2704,27365,128,40789,5,2,19120,113,33656,2640,26190,1,0,1,0,0
asana/python-asana,76,5636,390,4697,3770,63894,271,90643,15,13,74032,262,86007,3755,63612,0,1,0,0,0
chyroc/wechatsogou,11,1797,52,1385,6071,101859,503,155388,15,9,37477,467,127632,5949,99924,0,1,0,0,0
keeper-security/commander,203,64704,2323,46955,15898,208863,1090,328172,37,17,78158,953,253808,15233,195716,1,1,0,1,0
lukasschwab/arxiv.py,3,838,44,519,15432,231685,1356,491049,38,37,485226,1349,488925,15419,230972,0,1,0,0,0
jazzband/django-oauth-toolkit,45,4828,222,2760,13338,170103,1165,250243,16,9,44640,1015,181530,12762,159563,1,1,0,1,0
jazzband/django-payments,57,6218,372,3971,10087,135135,1531,204961,10,6,37403,1431,162721,9714,128289,0,1,0,0,0
poliastro/poliastro,147,23279,648,16188,67177,1477671,5041,2081997,45,26,245761,4746,1683079,65014,1397530,1,1,0,0,1
pseudonym117/riot-watcher,89,3223,203,2014,1086,24282,161,35987,6,4,19376,151,31368,1069,23930,0,1,0,0,0
martyzz1/heroku3.py,34,2801,268,1733,14060,185206,1265,392026,41,36,339263,1252,384554,14011,183969,0,2,0,0,0
pytrip/pytripgui,109,7774,715,5307,22992,493040,1342,773327,20,12,354040,1201,626468,21806,464292,0,1,0,0,0
open2c/bioframe,19,6474,130,5646,20335,409383,1178,625076,21,15,185704,1048,455996,19247,371184,0,1,0,0,0
astropy/astroquery,245,52235,1458,41599,17884,351898,1108,493259,26,13,63097,915,294813,16553,307349,1,1,0,0,1
getnikola/nikola,165,28402,903,16533,9887,144437,1112,368878,26,5,18335,986,301178,9210,129960,0,1,0,0,0
containerbuildsystem/atomic-reactor,85,19862,933,14428,2886,54149,257,75915,18,13,40761,234,66572,2752,51145,0,1,0,0,0
networktocode/pyntc,25,7747,402,6562,15379,205080,1390,310369,35,23,169332,1329,276281,15108,200362,0,2,0,0,0
maxplanck-ie/snakepipes,7,1225,35,986,20418,386061,1154,527100,46,43,359221,1144,524263,20390,385699,0,1,0,0,0
ploxiln/fab-classic,31,7386,266,5819,2553,25319,108,37925,5,4,36927,107,36927,2551,25307,0,1,0,0,0
kibitzr/kibitzr,49,3325,254,2030,32100,469921,1700,666207,48,27,106526,1587,593385,31582,460051,1,1,0,0,1
ma1co/sony-pmca-re,55,6421,651,4101,8655,126003,1320,205923,14,7,98728,1258,172810,8189,116981,1,0,0,0,1
django-helpdesk/django-helpdesk,90,10951,348,5331,24087,306412,2013,461604,48,31,203507,1833,377810,23308,290682,0,1,0,0,0
4dn-dcic/tibanna,37,9551,421,7739,6677,90241,361,137940,13,7,67301,325,114293,6507,87683,0,1,0,0,0
nsacyber/walkoff,216,39773,1629,24504,25305,331530,1673,581872,67,40,343386,1476,493933,24303,312325,5,0,1,3,1
kivy/kivy-ios,54,4095,185,2500,9510,141622,506,239846,21,11,115396,432,208893,9225,136366,0,1,0,0,0
home-assistant-libs/pychromecast,28,5902,329,4147,2119,37226,153,57369,10,5,33475,133,49201,2050,36114,0,1,0,0,0
zqfang/gseapy,12,6580,188,7086,26886,598675,1636,882044,22,11,134698,1447,646376,25188,537487,0,1,0,0,0
mapbox/rasterio,52,11265,308,7798,6424,136491,361,189513,10,2,11037,313,137349,6208,129419,0,1,0,0,0
buildbot/buildbot,420,78275,4552,51158,30492,389487,1278,573705,26,15,249766,1166,446780,29878,373429,0,1,0,0,0
burnash/gspread,9,5679,224,4901,2885,53212,412,103966,14,13,103000,411,103471,2883,53074,0,1,0,0,0
landlab/landlab,322,96091,2192,70145,40152,879621,2772,1368100,40,26,331784,2525,1060972,38089,806222,0,1,0,0,0
althonos/instalooter,18,2353,106,1581,4470,71983,310,104200,16,5,21085,277,86335,4332,69471,0,1,0,0,0
yashaka/selene,35,6220,443,3079,13323,164197,866,269199,23,20,134339,835,265808,13245,163322,0,1,0,0,0
wechatpy/wechatpy,110,19471,954,14307,1269,28925,94,41912,9,3,5725,70,31575,1135,25747,0,1,0,0,0
liqd/a4-opin,327,13178,401,2419,30531,395639,3411,656949,76,53,450456,3317,608616,30180,387414,0,2,0,0,0
liqd/adhocracy4,330,14096,716,5736,25092,333787,2586,501564,45,28,265502,2360,391631,23732,307259,0,2,0,0,0
snare/voltron,44,7615,356,4313,5867,96655,603,243738,25,13,52509,532,207976,5606,90836,0,1,0,0,0
fresna/powerplantmatching,20,6915,153,4854,34403,776918,2569,1168407,39,17,235746,2358,924950,32826,720084,0,1,0,0,0
vmware/photon,37,10184,539,7652,919,22903,83,33782,6,4,17171,74,29304,902,22553,0,1,0,0,0
gwpy/gwpy,153,38210,1176,27420,33817,697990,2163,1035163,37,18,219541,1927,739796,32276,637859,1,1,0,0,1
meejah/txtorcon,27,11954,629,8565,16106,189513,865,312429,18,9,71693,745,224450,15622,180708,1,0,0,1,0
bigchaindb/bigchaindb,68,8419,423,5662,10529,150455,599,227527,32,19,108234,537,187559,10299,145881,4,1,0,4,0
ktbyers/netmiko,204,17696,910,12932,6479,81547,464,123383,13,7,44430,431,105126,6306,78007,0,1,0,0,0
openpathsampling/openpathsampling,210,55010,3181,41029,32013,721770,2226,1043474,27,12,132297,1983,763933,30182,656309,0,1,0,0,0
pagarme/pagarme-python,37,638,81,232,1383,30475,108,44222,9,7,27611,100,39901,1369,30196,0,1,0,0,0
kapsiry/sikteeri,74,10230,547,6651,17373,225157,1603,366261,21,10,99144,1426,274323,16313,204866,0,1,0,0,0
approvals/approvaltests.python,103,3303,356,1982,15085,273426,985,391665,37,30,365492,967,381572,15025,272034,0,1,0,0,0
chrismattmann/tika-python,9,1486,48,959,4996,77938,279,112902,15,14,85364,277,111533,4965,77466,0,1,0,0,0
moepman/acertmgr,16,1914,92,1344,2488,24887,105,36759,3,2,19120,85,27014,2423,24031,1,0,0,1,0
scille/parsec-cloud,146,30439,1151,17940,5468,83136,376,119367,18,8,29056,321,86189,5213,77213,0,1,0,0,0
icloud-photos-downloader/icloud_photos_downloader,33,3462,165,2491,7673,102230,615,156732,29,18,65816,550,119796,7279,94874,0,2,0,0,0
dials/dials,427,126767,3964,100015,4306,65498,229,94030,19,12,23242,210,81771,4259,64490,0,1,0,0,0
rollbar/pyrollbar,47,4997,295,3276,943,22550,74,33712,6,3,16103,64,27359,926,22213,0,1,0,0,0
lektor/lektor,59,15667,1175,11271,13516,201328,913,340907,26,9,243017,830,284983,13115,192677,0,1,0,0,0
spotdl/spotify-downloader,53,11434,208,7563,4505,71178,252,98976,15,11,67280,227,87535,4363,68024,0,1,0,0,0
serhatbolsu/robotframework-appiumlibrary,19,2662,207,2114,17559,185168,1200,318716,19,14,120589,1176,309394,17456,183787,0,1,0,0,0
tilezen/vector-datasource,356,54566,2366,46926,18296,327494,1156,450734,33,22,123975,1050,396388,18033,322683,0,1,0,0,0
tilezen/tilequeue,43,8993,415,5595,17899,321128,1102,441498,27,17,102412,1065,418161,17758,317616,0,1,0,0,0
mozilla/mozilla-django-oidc,10,1298,60,965,14178,179641,1164,263660,15,8,48646,1083,230448,13915,175193,1,1,0,1,0
mozilla/pontoon,277,29746,1034,16281,1369,28728,114,41614,8,6,25003,105,37136,1352,28378,0,1,0,0,0
hdfgroup/hsds,76,27665,611,23867,13397,222845,735,314886,33,12,43458,641,239143,12943,213006,2,1,1,1,0
hdfgroup/h5pyd,41,16402,620,13597,13894,242242,1166,386994,37,31,207442,1139,357816,13823,240053,0,2,0,0,0
jbarlow83/ocrmypdf,46,10445,410,7146,9584,129208,524,205520,16,7,51834,449,148660,8945,116537,0,1,0,0,0
geopython/owslib,72,26566,1113,19691,2006,38643,144,56997,10,4,18739,130,48666,1950,37293,0,1,0,0,0
geopython/pywps,49,8131,412,5587,22165,379390,1006,572553,38,20,78729,847,378577,21274,357489,0,1,0,0,0
geopython/geohealthcheck,58,9731,405,5621,28260,387559,1652,678533,54,27,331260,1503,571181,27592,371221,2,1,0,2,0
sphinx-gallery/sphinx-gallery,23,6817,187,4734,10250,141371,794,315332,23,21,206824,784,309159,10232,141161,0,1,0,0,0
nexb/aboutcode-toolkit,24,9063,288,6197,3344,43525,286,70362,11,2,491,176,29790,2857,35151,0,1,0,0,0
yandex/yandex-tank,123,21640,1520,16148,23536,381973,1542,604995,34,15,89661,1436,516328,23022,369941,1,2,0,0,1
getsentry/responses,5,2023,99,1495,1229,26805,91,38637,6,2,4727,62,26626,1092,23840,0,1,0,0,0
hyperspy/hyperspyui,95,16947,1042,11393,96678,1671872,6822,2728008,101,64,949947,6320,2312849,93986,1596845,0,1,0,0,0
hyperspy/hyperspy,237,91706,2833,68260,79628,1424234,5017,2326605,83,39,554815,4579,1886310,76834,1329930,0,1,0,0,0
achael/eht-imaging,58,48750,1199,43153,49587,1075761,3725,1650346,52,31,394943,3379,1199771,47008,982640,1,0,0,0,1
ucfopen/canvasapi,79,16266,794,14467,1486,32506,108,54064,9,4,8361,78,32424,1326,28371,0,1,0,0,0
broadinstitute/fiss,15,6134,274,5367,9703,157882,953,268370,30,29,267372,952,267372,9698,157823,0,1,0,0,0
sys-bio/tellurium,90,56662,2229,45170,72278,1531052,4786,2269582,69,43,559701,4553,1755787,70610,1468897,0,1,0,0,0
soco/soco,39,16331,589,11128,1266,27814,109,41507,9,3,16103,95,35441,1235,26958,0,1,0,0,0
twitterdev/twitter-python-ads-sdk,16,2775,162,1099,4382,73318,315,105741,19,13,61268,308,99765,4301,71585,0,1,0,0,0
cog-creators/red-discordbot,190,72166,2738,56933,14368,224887,1130,452244,43,13,115616,978,359640,13700,211090,1,0,1,0,0
projectq-framework/projectq,222,41810,1849,29211,23525,559418,1653,820053,20,11,145947,1562,720270,23034,538651,0,1,0,0,0
jupyter/kernel_gateway,30,2947,143,1858,27458,388569,2132,687486,87,72,569989,2071,649610,27210,382580,0,1,0,0,0
jupyter/nbgrader,135,17657,695,10809,41082,587613,2646,985795,103,85,615571,2499,814520,40185,565990,0,1,0,0,0
aliyun/aliyun-oss-python-sdk,34,18887,1021,13977,6840,85256,449,133712,13,6,36465,406,115888,6647,81664,0,2,0,0,0
whynothugo/django-mercadopago,33,1990,37,399,11946,158582,1115,232649,16,10,37167,1042,196653,11711,154460,0,1,0,0,0
armmbed/mbed-cli,7,3981,212,3005,4257,66979,388,110164,18,16,99203,373,103439,4194,65774,0,1,0,0,0
snok/django-auth-adfs,47,2019,50,952,12496,156191,1098,230022,13,6,30780,974,176347,11951,145697,1,1,0,1,0
goshippo/shippo-python-client,10,1254,76,790,1216,25479,124,37612,6,3,15936,107,30964,1176,24280,1,1,0,1,0
atlassian-api/atlassian-python-api,47,23877,1554,20610,1588,34022,165,49410,10,4,17101,149,43320,1560,33358,0,1,0,0,0
picklepete/pyicloud,15,3054,205,2312,4906,65227,279,96218,18,11,52871,247,84300,4718,61686,0,2,0,0,0
donnemartin/saws,25,2800,89,1716,12188,141914,986,324241,17,12,171549,923,298740,11879,134578,1,0,0,1,0
pahaz/sshtunnel,4,2323,85,1564,3607,44474,183,63779,6,5,43358,169,54223,3494,42281,0,1,0,0,0
scrapy/scrapy,176,22846,1556,15579,18214,218391,1037,356948,36,19,101551,872,239136,17427,204410,1,1,0,1,0
scrapy/scrapyd,26,1779,181,1109,19741,233702,1207,379173,37,30,147075,1095,302181,19287,226307,0,2,0,0,0
autopkg/autopkg,71,19561,875,13149,7848,101640,495,143239,31,25,93171,475,132781,7711,99502,1,0,0,0,1
jrnl-org/jrnl,49,5251,238,3618,7019,89220,657,233184,20,9,49267,595,207849,6753,83585,1,0,0,1,0
archlinux/arch-security-tracker,52,5526,257,3606,21978,305950,1217,445969,40,15,77572,1051,301407,21233,287852,1,1,0,1,0
cmu-delphi/delphi-epidata,145,20477,739,13809,2630,43169,159,62308,13,5,5106,127,43714,2480,39590,1,1,0,1,0
choderalab/yank,24,15818,456,12221,21252,293112,1319,552879,45,45,552879,1319,552879,21252,293112,0,2,0,0,0
kenfar/datagristle,26,9013,381,6901,25836,340215,1035,509837,37,23,194607,969,434232,25610,334068,0,1,0,0,0
uw-hydro/rvic,26,6442,109,5105,26029,577591,1570,850617,20,12,131158,1427,666121,24830,533107,0,1,0,0,0
datadog/datadogpy,76,10465,417,7593,883,22268,73,32798,5,3,16187,65,28477,869,21989,0,1,0,0,0
vijos/vj4,80,10986,772,6659,9114,126979,609,224359,35,13,92570,530,182541,8741,119051,1,1,1,0,0
bluesky/databroker,59,18899,904,14207,29296,572507,1630,798327,53,23,135070,1311,429133,26976,498787,1,0,0,0,1
translate/translate,413,89152,4500,62828,1705,34002,119,50065,8,6,38352,111,46893,1670,32727,0,1,0,0,0
pypsa/atlite,25,6141,185,4531,29996,691703,1767,915758,45,23,76179,1449,547187,27293,599823,0,1,0,0,0
esgf/esgf-pyclient,14,1771,79,1158,6450,88917,342,129266,22,12,41223,307,108691,6233,84503,1,1,0,1,0
plotly/dash,67,13078,595,9648,17804,546867,2006,746534,24,14,52074,1972,715833,17701,544252,0,1,0,0,0
eoxserver/eoxserver,448,61806,2339,32641,32456,490009,2562,771165,55,34,256920,2353,653580,31516,471410,0,1,0,0,0
wwood/singlem,77,15980,524,12733,51711,982717,3430,1607054,52,38,665124,3177,1254836,49795,920736,0,1,0,0,0
sumologic/sumologic-python-sdk,18,1067,90,428,882,22187,73,32714,5,2,4727,53,24977,761,19543,0,1,0,0,0
salsita/shishito,49,4599,227,2783,15003,184944,1039,300831,28,21,99619,988,277453,14821,182031,0,1,0,0,0
tchellomello/python-amcrest,22,4408,356,3026,1103,25289,86,37608,7,5,20997,76,32815,1085,24943,0,1,0,0,0
tensorlayer/tensorlayer,111,32488,1046,22356,22051,639348,1766,885941,24,9,148780,1526,617541,20175,562254,0,1,0,0,0
pycontribs/jira,9,7750,328,6518,1946,39042,216,57922,11,4,19662,191,48567,1795,35955,0,1,0,0,0
graphbrain/graphbrain,63,5958,384,4665,33634,742867,2815,1173313,59,43,331911,2695,1034240,33006,718747,0,1,0,0,0
fabfuel/ecs-deploy,6,2480,128,1889,6707,97104,473,144313,13,6,26559,443,125338,6577,94951,0,1,0,0,0
nschloe/meshzoo,0,0,0,0,10577,198323,1018,384766,30,30,384766,1018,384766,10577,198323,0,2,0,0,0
zulko/moviepy,166,20983,701,16217,7169,167559,486,235315,10,6,37088,447,175007,6929,157330,0,1,0,0,0
home-assistant-ecosystem/home-assistant-cli,25,4289,192,2278,6975,105879,595,198421,31,12,39198,526,157215,6408,96039,1,1,0,1,0
home-assistant-ecosystem/python-mystrom,8,1077,92,607,4381,67866,233,98599,14,4,4859,197,75501,4163,63560,1,1,0,1,0
oemof/feedinlib,13,3493,84,2625,17860,473267,1116,630161,15,10,46902,988,462517,16751,434136,0,1,0,0,0
sassoftware/python-swat,71,21065,1221,35589,10496,254970,588,339124,11,3,12246,442,167840,9234,212610,1,0,0,0,1
bundlewrap/bundlewrap,79,17493,953,13743,6455,88327,339,133311,16,6,35590,274,97101,6041,80926,1,1,0,1,0
wradlib/wradlib,38,18735,461,14581,34989,754732,1986,1076552,38,21,160223,1687,697313,32298,659588,0,1,0,0,0
ccrisan/motioneye,28,9845,386,8042,5570,65861,238,94113,5,1,367,213,74883,5423,62735,1,0,0,1,0
taspinar/twitterscraper,6,789,20,645,2485,42110,161,61939,11,8,35870,141,51485,2381,40755,0,1,0,0,0
xknx/xknx,152,22588,1346,13308,2522,25248,112,37537,5,2,19120,98,33176,2474,24681,1,0,0,1,0
morucci/repoxplorer,37,5264,198,3483,9967,139085,717,208834,28,17,87617,671,187237,9810,135506,2,1,0,2,0
sunscrapers/djoser,38,1606,75,745,15743,196367,1565,291997,23,16,105571,1457,247304,15345,189738,0,2,0,0,0
fizzadar/pyinfra,142,23621,752,17206,12573,162295,735,247862,28,12,59313,620,183341,11974,150372,1,1,0,1,0
aws/aws-parallelcluster,310,71222,2856,47545,48819,581763,747,831986,91,72,651905,650,773773,48323,573237,0,1,0,0,0
scrapy-plugins/scrapy-zyte-smartproxy,4,444,31,311,19742,233783,1207,379257,37,34,327896,1203,378596,19735,233704,1,2,0,1,0
cs50/help50,0,0,0,0,4302,62197,243,88920,16,16,88920,243,88920,4302,62197,0,2,0,0,0
gandi/gandi.cli,65,11039,547,7474,3096,52557,175,76305,8,3,16103,147,60222,2958,50202,0,1,0,0,0
staticafi/symbiotic,61,9534,583,6629,5480,83299,286,129450,18,18,129450,286,129450,5480,83299,0,1,0,0,0
cve-search/cve-search,80,13092,511,6919,16573,241488,1163,363225,43,29,205334,1073,293051,16215,232708,1,0,0,0,1
feeicn/cobra,24,7205,257,5734,35212,649490,2088,1160271,31,30,1119967,2086,1159286,35210,649477,0,1,0,0,0
flyingrub/scdl,4,1088,23,858,2807,44923,238,69188,15,7,25713,214,57606,2718,43491,0,1,0,0,0
django-salesforce/django-salesforce,52,7368,356,3834,9928,130909,980,193230,10,5,23036,861,136588,9457,122661,0,1,0,0,0
spacetelescope/drizzlepac,133,72936,1286,62053,67874,1410487,4789,2058051,83,49,527311,4198,1406458,63495,1249956,2,1,0,1,1
theqrl/qrl,131,32812,1480,16421,16685,214990,1160,353834,54,40,228777,1094,312524,16430,209909,3,1,0,2,1
comictagger/comictagger,82,17697,714,12618,4692,81686,343,121786,19,6,20882,300,96755,4561,78377,0,1,0,0,0
gregreen/dustmaps,24,5668,169,4275,29860,657415,1936,973227,27,14,193450,1790,765308,28935,622130,1,0,0,0,1
20c/vaping,18,2633,128,1709,8552,116795,461,178882,22,15,147660,442,170641,8501,115661,0,2,0,0,0
mopidy/mopidy-spotify,13,1772,111,1379,5697,84341,317,122908,12,7,56096,287,112346,5550,81368,0,1,0,0,0
evonove/mkm-sdk,12,1089,29,348,1329,31802,156,45928,7,5,39142,154,45761,1327,31753,0,1,0,0,0
dalibo/temboard,149,24952,1300,16517,19107,261053,778,399266,19,9,47556,621,214595,18098,236911,1,0,0,1,0
zestedesavoir/zds-site,458,49889,2207,29054,30531,388520,3033,860107,77,43,267981,2767,743347,29373,367517,1,3,1,0,0
lyft/confidant,61,9422,306,6636,25255,320697,1373,474498,69,39,173908,1199,383355,24390,302986,1,1,0,1,0
samuelcolvin/grablib,8,925,49,679,2170,40794,118,57389,7,3,19272,92,45772,2012,37458,0,1,0,0,0
open-power/op-test,131,40370,1966,28628,3198,45561,177,64998,16,10,29182,150,52334,3009,41239,0,1,0,0,0
smartsheet-platform/smartsheet-python-sdk,182,21065,1477,10751,1441,30625,126,45137,8,3,19788,113,36906,1391,29342,1,0,0,0,1
cuthbertlab/music21,254,289745,4457,110529,16166,301396,1038,528128,23,17,205978,997,488247,16063,298871,0,1,0,0,0
googlecloudplatform/perfkitbenchmarker,650,142569,6061,91001,34478,607539,2267,962238,58,30,318577,2013,701242,32586,547402,0,2,0,0,0
googlecloudplatform/cloud-debug-python,21,4093,138,2949,11143,169059,914,281651,35,31,247184,899,274863,11109,168429,0,2,0,0,0
jarun/buku,9,1571,106,1085,4138,48370,193,74148,9,9,74148,193,74148,4138,48370,0,1,0,0,0
safetyculture/safetyculture-sdk-python,13,2728,117,2149,6907,98307,485,149568,19,10,64154,460,128482,6705,91442,0,2,0,0,0
beeware/briefcase,60,16184,622,12683,15011,233401,1390,531068,36,25,364911,1326,499237,14699,227118,0,1,0,0,0
