,Name,Status,Bloat Files,Used Files,Bloated Functions,Used Functions,percentage_bloated_functions,percentage_bloated_files
89,cryptography,Inactive,59,13,1246,45,0.965143299767622,0.8194444444444444
90,requests,Inactive,11,7,223,13,0.9449152542372882,0.6111111111111112
91,requests,Active,7,11,150,83,0.6437768240343348,0.3888888888888889
92,waitress,Inactive,15,1,218,2,0.990909090909091,0.9375
93,joblib,Inactive,52,3,722,6,0.9917582417582418,0.9454545454545454
94,py,Inactive,165,7,5489,64,0.9884746983612461,0.9593023255813954
95,cryptography,Inactive,62,10,1262,29,0.9775367931835787,0.8611111111111112
96,requests,Inactive,12,6,225,11,0.9533898305084746,0.6666666666666666
97,cryptography,Inactive,59,13,1232,62,0.9520865533230294,0.8194444444444444
98,gunicorn,Inactive,27,10,458,61,0.882466281310212,0.7297297297297297
99,Werkzeug,Inactive,53,10,1696,31,0.9820497973364215,0.8412698412698413
100,autobahn,Inactive,126,4,1987,15,0.9925074925074925,0.9692307692307692
101,cryptography,Inactive,70,2,1285,6,0.9953524399690162,0.9722222222222222
102,requests,Active,7,11,154,82,0.652542372881356,0.3888888888888889
103,requests,Inactive,12,6,221,11,0.9525862068965517,0.6666666666666666
104,GitPython,Inactive,23,13,567,63,0.9,0.6388888888888888
105,aiohttp,Inactive,40,5,1214,19,0.9845904298459043,0.8888888888888888
106,requests,Active,7,11,154,82,0.652542372881356,0.3888888888888889
107,cryptography,Active,58,14,1222,70,0.9458204334365325,0.8055555555555556
108,cryptography,Inactive,44,28,1135,163,0.8744221879815101,0.6111111111111112
109,cryptography,Inactive,64,8,1265,27,0.9791021671826625,0.8888888888888888
110,aiohttp,Active,32,13,1166,68,0.9448946515397083,0.7111111111111111
111,cryptography,Inactive,65,7,1279,13,0.989938080495356,0.9027777777777778
112,cryptography,Inactive,49,23,1166,131,0.8989976869699307,0.6805555555555556
113,wagtail,Inactive,555,15,3322,54,0.9840047393364929,0.9736842105263158
114,cryptography,Inactive,57,15,1204,87,0.9326103795507359,0.7916666666666666
115,aiohttp,Inactive,34,11,1161,72,0.9416058394160584,0.7555555555555555
116,aiohttp,Active,36,9,1178,58,0.9530744336569579,0.8
117,aiohttp,Inactive,31,14,1149,84,0.9318734793187348,0.6888888888888889
118,aiohttp,Active,39,6,1208,25,0.9797242497972425,0.8666666666666667
119,aiohttp,Inactive,43,2,1226,6,0.9951298701298701,0.9555555555555556
120,aiohttp,Active,25,20,1117,118,0.9044534412955466,0.5555555555555556
121,cryptography,Inactive,63,9,1265,27,0.9791021671826625,0.875
122,configobj,Inactive,2,1,132,1,0.9924812030075187,0.6666666666666666
123,cryptography,Inactive,66,6,1265,28,0.9783449342614076,0.9166666666666666
124,requests,Active,7,11,149,84,0.6394849785407726,0.3888888888888889
125,aiohttp,Inactive,42,3,1226,7,0.9943227899432279,0.9333333333333333
126,configobj,Inactive,1,2,101,32,0.7593984962406015,0.3333333333333333
127,cryptography,Inactive,67,5,1269,22,0.9829589465530596,0.9305555555555556
128,cryptography,Inactive,51,21,1203,91,0.9296754250386399,0.7083333333333334
129,cryptography,Inactive,63,9,1268,23,0.9821843532145623,0.875
130,GitPython,Inactive,23,13,579,51,0.919047619047619,0.6388888888888888
131,Werkzeug,Inactive,36,7,1153,29,0.9754653130287648,0.8372093023255814
132,requests,Inactive,11,7,221,13,0.9444444444444444,0.6111111111111112
133,cryptography,Inactive,66,6,1279,12,0.9907048799380326,0.9166666666666666
134,aiohttp,Active,35,12,1183,28,0.976878612716763,0.7446808510638298
135,cryptography,Inactive,71,1,1290,1,0.9992254066615027,0.9861111111111112
136,cryptography,Inactive,62,10,1253,39,0.9698142414860681,0.8611111111111112
137,cryptography,Inactive,59,13,1246,58,0.9555214723926381,0.8194444444444444
138,cryptography,Inactive,61,11,1235,56,0.9566227730441518,0.8472222222222222
139,Django,Inactive,699,158,7614,636,0.9229090909090909,0.8156359393232205
140,Werkzeug,Inactive,39,8,1119,35,0.9696707105719238,0.8297872340425532
141,requests,Inactive,11,7,221,13,0.9444444444444444,0.6111111111111112
142,aiohttp,Inactive,40,5,1215,19,0.9846029173419774,0.8888888888888888
143,redis,Inactive,60,3,1584,12,0.9924812030075187,0.9523809523809523
144,configobj,Inactive,2,1,98,35,0.7368421052631579,0.6666666666666666
145,requests,Inactive,11,7,221,15,0.9364406779661016,0.6111111111111112
146,Werkzeug,Inactive,33,10,1142,40,0.9661590524534687,0.7674418604651163
147,cryptography,Inactive,69,3,1287,5,0.9961300309597523,0.9583333333333334
148,aiohttp,Inactive,39,6,1227,8,0.9935222672064777,0.8666666666666667
149,cleo,Active,36,28,461,124,0.788034188034188,0.5625
150,cryptography,Inactive,63,9,1268,23,0.9821843532145623,0.875
