project,package_name,status,bloated_files,used_files,bloated_functions,used_functions,percentage_bloated_functions,percentage_bloated_files
byt3bl33d3r/crackmapexec,cryptography,Inactive,51,21,1203,91,0.9296754250386399,0.7083333333333334
mailpile/mailpile,cryptography,Inactive,63,9,1268,23,0.9821843532145623,0.875
grow/grow,GitPython,Inactive,23,13,579,51,0.919047619047619,0.6388888888888888
grow/grow,Werkzeug,Inactive,36,7,1153,29,0.9754653130287648,0.8372093023255814
furlongm/patchman,requests,Inactive,11,7,221,13,0.9444444444444444,0.6111111111111112
inmanta/inmanta-core,cryptography,Inactive,66,6,1279,12,0.9907048799380326,0.9166666666666666
piqueserver/piqueserver,aiohttp,Active,35,12,1183,28,0.976878612716763,0.7446808510638298
piqueserver/piqueserver,cryptography,Inactive,71,1,1290,1,0.9992254066615027,0.9861111111111112
matlink/gplaycli,cryptography,Inactive,62,10,1253,39,0.9698142414860681,0.8611111111111112
georgemarshall/django-cryptography,cryptography,Inactive,59,13,1246,58,0.9555214723926381,0.8194444444444444
modoboa/modoboa,cryptography,Inactive,61,11,1235,56,0.9566227730441518,0.8472222222222222
archesproject/arches,Django,Inactive,699,158,7614,636,0.9229090909090909,0.8156359393232205
sdss/marvin,Werkzeug,Inactive,39,8,1119,35,0.9696707105719238,0.8297872340425532
fpgawars/apio,requests,Inactive,11,7,221,13,0.9444444444444444,0.6111111111111112
maxmind/geoip2-python,aiohttp,Inactive,40,5,1215,19,0.9846029173419774,0.8888888888888888
closeio/tasktiger,redis,Inactive,60,3,1584,12,0.9924812030075187,0.9523809523809523
oggm/oggm,configobj,Inactive,2,1,98,35,0.7368421052631579,0.6666666666666666
mendix/cf-mendix-buildpack,requests,Inactive,11,7,221,15,0.9364406779661016,0.6111111111111112
christabor/flask_jsondash,Werkzeug,Inactive,33,10,1142,40,0.9661590524534687,0.7674418604651163
the-useless-one/pywerview,cryptography,Inactive,69,3,1287,5,0.9961300309597523,0.9583333333333334
pnuckowski/aioresponses,aiohttp,Inactive,39,6,1227,8,0.9935222672064777,0.8666666666666667
sdispater/orator,cleo,Active,36,28,461,124,0.788034188034188,0.5625
pdfminer/pdfminer.six,cryptography,Inactive,63,9,1268,23,0.9821843532145623,0.875
