product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,reachable_dependencies,reachable_dependencies_loc,reachable_dependency_files,reachable_dependency_files_loc,reachable_dependency_functions,reachable_dependency_functions_loc,total_dependencies_count,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,bloated_deps_count_1,bloated_deps_loc_1,bloated_files_count_1,bloated_files_loc_1,bloated_functions_count_1,bloated_functions_loc_1,used_direct_deps_count_1,used_direct_deps_loc_1,used_direct_files_count_1,used_direct_files_loc_1,used_direct_functions_count_1,used_direct_functions_loc_1,transitive_bloated_dependencies_count,transitive_bloated_dependencies_loc,transitive_bloated_files_count,transitive_bloated_files_loc,transitive_bloated_functions_count,transitive_bloated_functions_loc,transitive_used_dependencies_count,transitive_used_dependencies_loc,transitive_used_files_count,transitive_used_files_loc,transitive_used_functions_count,transitive_used_functions_loc
conan-io/conan-package-tools,18,3337,198,2667,5985,87265,703,222822,8,61653,49,19168,246,4489,18,10,161169,654,203654,5743,82776,0,0,168,25168,2000,20813,3,34414,27,9246,171,3035,10,161169,486,178486,3743,61963,5,27239,22,9922,75,1454
conan-io/conan,317,37810,2446,26880,2702,47235,165,67425,9,49957,39,22114,172,3123,14,5,17468,126,45311,2531,44112,0,0,64,17518,1739,25298,8,38305,36,20787,168,3041,5,17468,62,27793,792,18814,1,11652,3,1327,4,82
nitmir/django-cas-server,22,5946,171,3193,10370,136603,999,198010,6,173976,110,53322,382,6683,12,6,24034,889,144688,10003,129920,1,998,805,110636,8910,107114,3,160835,105,51197,372,6479,5,23036,84,34052,1093,22806,3,13141,5,2125,10,204
yunojuno/django-request-token,30,1522,53,556,9071,109001,913,160073,3,153140,72,37459,328,5655,5,2,6933,841,122614,8754,103346,0,0,811,114709,8315,98775,2,151403,70,36694,322,5569,2,6933,30,7905,439,4571,1,1737,2,765,6,86
cowrie/cowrie,157,23712,1042,16753,18503,227584,1020,367993,16,274379,189,133100,1042,16823,30,14,93614,831,234893,17484,210761,0,0,295,61359,8869,95862,1,165744,138,104385,766,11707,14,93614,536,173534,8615,114899,15,108635,51,28715,276,5116
certtools/intelmq,321,32229,1003,18018,7028,105929,396,148582,9,129063,40,28623,281,5480,13,4,19519,356,119959,6747,100449,1,14545,243,69146,4711,64409,5,77975,28,23374,211,4219,3,4974,113,50813,2036,36040,4,51088,12,5249,70,1261
dj-stripe/dj-stripe,56,22650,467,6881,10347,135246,1119,200489,3,160842,146,62013,641,11370,10,7,39647,973,138476,9742,123876,0,0,870,97857,8421,97561,2,159105,144,61248,635,11284,7,39647,103,40619,1321,26315,1,1737,2,765,6,86
rdiff-backup/rdiff-backup,137,37322,2057,28057,347,4618,18,5923,1,5923,6,2316,10,176,1,0,0,12,3607,337,4442,0,0,12,3607,337,4442,1,5923,6,2316,10,176,0,0,0,0,0,0,0,0,0,0,0,0
axelrod-python/axelrod,90,21512,869,12105,31341,674095,1838,971180,11,821269,222,275308,1853,64066,27,16,149911,1616,695872,29527,610029,2,5532,900,439474,17893,411758,6,640093,162,206151,1470,46578,14,144379,716,256398,11634,198271,5,181176,60,69157,383,17488
pywbem/pywbem,61,62310,1572,48784,3153,52869,188,78132,9,70151,36,18470,257,5647,13,4,7981,152,59662,2898,47222,1,182,99,32822,2079,28039,7,47123,26,14483,213,4810,3,7799,53,26840,819,19183,2,23028,10,3987,44,837
lovesegfault/beautysh,1,439,15,391,68,564,6,882,0,0,0,0,0,0,1,1,882,6,882,68,564,1,882,6,882,68,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leancloud/python-sdk,30,5912,418,4082,8540,107923,529,175252,12,160831,82,54665,398,8305,18,6,14421,447,120587,8149,99618,1,363,273,54636,5070,51532,6,98146,60,43873,283,5954,5,14058,174,65951,3079,48086,6,62685,22,10792,115,2351
sh4nks/flask-caching,15,2312,105,1656,3074,42410,148,61564,4,47066,11,4600,32,506,10,6,14498,137,56964,3045,41904,0,0,22,8116,418,6891,2,9963,8,1847,25,378,6,14498,115,48848,2627,35013,2,37103,3,2753,7,128
scikit-learn-contrib/metric-learn,22,5878,131,3587,14487,416825,998,580852,4,579781,185,224961,1580,66368,5,1,1071,813,355891,12916,350457,0,0,771,343556,12190,340104,3,564488,179,220932,1558,65872,1,1071,42,12335,726,10353,1,15293,6,4029,22,496
scikit-learn-contrib/category_encoders,27,5428,156,3167,27407,723652,1848,993761,8,960312,159,205095,1376,51186,14,6,33449,1689,788666,26070,672466,0,0,937,453895,12958,356142,3,525819,58,71924,387,17405,6,33449,752,334771,13112,316324,5,434493,101,133171,989,33781
scikit-learn-contrib/imbalanced-learn,57,12638,131,3275,14487,416825,998,580852,4,579781,197,233158,1604,65872,5,1,1071,801,347694,12897,350953,0,0,759,335359,12171,340747,3,564488,191,229129,1582,65376,1,1071,42,12335,726,10206,1,15293,6,4029,22,496
arista-eosplus/pyeapi,24,9818,461,7399,373,4935,20,6773,1,6773,5,2849,17,565,1,0,0,15,3924,356,4370,0,0,15,3924,356,4370,1,6773,5,2849,17,565,0,0,0,0,0,0,0,0,0,0,0,0
abhishek-ram/pyas2-lib,7,1991,39,1498,3823,60058,217,88808,4,69688,45,34485,255,9425,6,2,19120,172,54323,3610,50633,0,0,60,17124,1071,25513,3,51297,43,34173,245,9312,2,19120,112,37199,2539,25120,1,18391,2,312,10,113
r0x0r/pywebview,25,7768,490,5015,162,1687,1,3072,1,3072,1,3072,3,30,1,0,0,0,0,159,1657,0,0,0,0,159,1657,1,3072,1,3072,3,30,0,0,0,0,0,0,0,0,0,0,0,0
gtaylor/python-colormath,14,6110,156,2964,6610,196491,560,248949,2,235805,28,44479,117,5052,3,1,13144,532,204470,6493,191439,0,0,485,191326,5772,182211,2,235805,28,44479,117,5052,1,13144,47,13144,721,9228,0,0,0,0,0,0
obsrvbl/flowlogs-reader,5,923,36,625,4695,61351,250,86488,6,64380,25,15561,226,4463,10,4,22108,225,70927,4469,56888,0,0,33,6813,370,6109,2,9180,10,2367,38,724,4,22108,192,64114,4099,50779,4,55200,15,13194,188,3739
openml/openml-python,40,14852,402,11961,22391,590502,1411,810823,16,805038,179,227602,1453,50576,19,3,5785,1232,583221,20974,539926,0,0,473,236574,9579,242556,8,372476,110,135902,1056,33628,3,5785,759,346647,11395,297370,8,432562,69,91700,397,16948
pynamodb/pynamodb,28,6767,427,4636,3037,39319,138,56376,1,34442,11,6895,69,930,5,4,21934,127,49481,2968,38389,0,0,61,27547,1962,23594,1,34442,11,6895,69,930,4,21934,66,21934,1006,14795,0,0,0,0,0,0
jpmens/mqttwarn,88,7268,194,5295,4112,62794,383,97476,7,86073,53,30865,350,6505,12,5,11403,330,66611,3773,56289,2,6309,282,41847,3131,38623,5,63521,44,27983,312,5718,3,5094,48,24764,642,17666,2,22552,9,2882,38,787
brack3t/django-braces,12,1470,75,718,8965,107638,901,157880,2,150947,46,19631,125,2170,4,2,6933,855,138249,8844,105468,0,0,825,130344,8405,100802,1,149210,44,18866,119,2084,2,6933,30,7905,439,4666,1,1737,2,765,6,86
colinoflynn/pico-python,17,9779,512,6279,3700,97240,238,133991,1,133991,11,14122,28,1044,1,0,0,227,119869,3672,96196,0,0,227,119869,3672,96196,1,133991,11,14122,28,1044,0,0,0,0,0,0,0,0,0,0,0,0
airbnb/knowledge-repo,107,11375,751,7196,44874,625805,2980,1086414,47,789199,326,235417,1755,41483,85,38,297215,2654,850997,43143,584322,2,2563,783,268782,12534,166649,17,339175,129,72956,660,18251,36,294652,1871,582215,30609,417673,30,450024,197,162461,1095,23232
threat9/routersploit,513,24110,749,11180,12513,170276,890,267485,7,151881,65,35001,262,4831,16,9,115604,825,232484,12257,165445,0,0,427,95327,5500,73902,4,122898,47,27571,204,3852,9,115604,398,137157,6757,91543,3,28983,18,7430,58,979
kislyuk/watchtower,2,555,22,336,3890,51166,191,72341,2,42617,13,6524,71,1012,7,5,29724,178,65817,3819,50154,0,0,32,6750,344,5826,1,8175,5,1425,10,253,5,29724,146,59067,3475,44328,1,34442,8,5099,61,759
juniper/py-junos-eznc,84,17210,660,12925,8522,108932,461,159017,11,108401,63,44277,439,8000,19,8,50616,398,114740,8087,100932,2,6891,195,45284,4035,53757,10,80863,59,42470,403,7471,6,43725,203,69456,4052,47175,1,27538,4,1807,36,529
juniper/jsnapy,17,7409,106,6910,11178,146236,778,217129,9,99192,22,12246,138,2301,24,15,117937,756,204883,11042,143935,2,25635,348,71954,3432,48075,5,50500,8,4181,70,1134,13,92302,408,132929,7610,95860,4,48692,14,8065,68,1167
pyscaffold/pyscaffold,31,5279,244,3396,2584,31577,139,47063,5,40361,25,10427,201,3234,8,3,6702,114,36636,2383,28343,0,0,86,29934,2028,24108,5,40361,25,10427,201,3234,3,6702,28,6702,355,4235,0,0,0,0,0,0
nci-gdc/gdcdictionary,3,175,8,129,3758,58474,235,85493,2,12200,11,5099,23,289,15,13,73293,224,80394,3735,58185,0,0,31,7101,740,8701,2,12200,11,5099,23,289,13,73293,193,73293,2995,49484,0,0,0,0,0,0
sendgrid/sendgrid-python,84,6769,350,3720,98,836,20,1327,2,1327,10,851,27,207,2,0,0,10,476,71,629,0,0,8,356,50,383,1,911,9,555,26,178,0,0,2,120,21,246,1,416,1,296,1,29
pythonot/pot,38,25853,876,23057,10331,287518,696,390953,2,390953,59,70699,372,17895,2,0,0,637,320254,9960,269623,0,0,637,320254,9960,269735,2,390953,59,70699,372,17895,0,0,0,0,0,0,0,0,0,0,0,0
seisman/hinetpy,6,2956,51,2026,933,24213,78,35612,3,27987,20,7737,121,2627,6,3,7625,58,27875,814,21586,0,0,7,580,155,2088,1,5435,11,4855,83,1840,3,7625,51,27295,659,19498,2,22552,9,2882,38,787
biosustain/cameo,74,16974,870,11172,82334,1438979,5291,2320453,30,1531914,210,358993,1159,34889,127,97,788539,5081,1961460,81193,1404090,2,32885,1321,531783,17092,433227,15,607820,125,108922,713,26643,95,755654,3760,1429677,64101,970863,15,924094,85,250071,446,8246
sentinelsat/sentinelsat,9,2939,95,2314,1826,36981,146,53253,9,48526,47,17780,230,4708,11,2,4727,99,35473,1597,32273,0,0,53,11076,929,14438,6,24976,37,13900,191,3919,2,4727,46,24397,668,17835,3,23550,10,3880,39,789
mar10/wsgidav,46,15227,628,11040,1430,16883,64,23307,4,22940,8,5200,38,532,5,1,367,56,18107,1392,16351,0,0,54,17740,1358,16139,4,22940,8,5200,38,532,1,367,2,367,34,212,0,0,0,0,0,0
gmplot/gmplot,27,2572,81,2132,882,22187,73,32714,2,16611,9,4478,16,337,5,3,16103,64,28236,866,21850,0,0,11,2120,223,3664,1,5435,7,3315,13,260,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
s3tools/s3cmd,25,9114,409,6410,413,6704,22,9420,3,9420,6,5635,52,1201,3,0,0,16,3785,362,5503,0,0,16,3785,302,5187,2,8422,5,4637,51,1199,0,0,0,0,60,316,1,998,1,998,1,2
codecov/codecov-python,4,1312,15,1073,1531,33646,115,48089,2,16611,9,4478,17,351,7,5,31478,106,43611,1514,33295,1,14037,50,16157,856,13958,1,5435,7,3315,14,274,4,17441,56,27454,658,19337,1,11176,2,1163,3,77
halfak/deltas,25,2128,104,799,355,4750,26,6117,0,0,0,0,0,0,2,2,6117,26,6117,355,4750,1,157,8,157,7,106,0,0,0,0,0,0,1,5960,18,5960,348,4644,0,0,0,0,0,0
codalab/codalab-worksheets,203,46382,1877,33969,60368,950799,4105,1544019,27,762156,180,138658,873,18485,87,60,781863,3925,1405361,59518,932314,10,233146,2310,834409,35290,564334,20,722897,151,121634,732,15620,50,548717,1615,570952,24228,367980,7,39259,29,17024,141,2865
lxc/pylxd,50,6764,489,4501,3964,55764,235,82283,8,58436,28,12874,180,3806,12,4,23847,207,69409,3785,51958,0,0,129,26326,1921,20307,5,34886,17,8560,140,3007,4,23847,78,43083,1864,31651,3,23550,11,4314,40,799
nfcpy/nfcpy,37,17265,1004,13106,809,9156,41,15138,3,15138,10,4938,45,914,3,0,0,31,10200,765,8242,0,0,31,10200,765,8270,3,15138,10,4938,45,914,0,0,0,0,0,0,0,0,0,0,0,0
xattr/xattr,8,869,61,538,1197,13828,33,19120,2,19120,13,9244,150,2672,2,0,0,20,9876,1047,11156,0,0,6,1536,410,3798,1,8157,10,6621,147,2519,0,0,14,8340,637,7358,1,10963,3,2623,3,153
christiansandberg/canopen,29,5872,325,4128,2752,40564,180,63631,2,53273,7,2289,18,525,6,4,10358,173,61342,2735,40039,0,0,82,23688,758,14801,1,25735,6,2047,15,504,4,10358,91,37654,1977,25238,1,27538,1,242,3,21
mbj4668/pyang,55,23755,1113,17906,332,4491,28,7110,1,7110,0,0,0,0,1,0,0,28,7110,332,4491,0,0,28,7110,332,4491,1,7110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
booya-at/openglider,124,23952,1824,17848,23689,425854,1431,623776,11,572977,129,122278,703,20750,18,7,50799,1302,501498,22991,405104,0,0,1048,429222,18601,364202,8,545493,109,116271,586,19130,7,50799,254,72276,4390,40902,3,27484,20,6007,117,1620
clinical-genomics/scout,318,45187,1204,34766,4545,52585,167,76118,7,58916,51,34882,222,5150,10,3,17202,116,41236,4327,47435,0,0,9,1196,302,5053,1,8791,13,7595,52,1412,3,17202,107,40040,4025,42382,6,50125,38,27287,170,3738
psy0rz/zfs_autobackup,23,4246,203,3364,337,4812,21,6055,2,3274,2,2494,47,960,3,1,2781,19,3561,290,3852,0,0,5,780,149,1494,2,3274,2,2494,47,960,1,2781,14,2781,141,2358,0,0,0,0,0,0
google/openhtf,71,23718,1003,11525,6891,95354,531,166978,4,12690,11,6024,26,570,23,19,154288,520,160954,6865,94784,6,46196,169,52862,2587,39911,4,12690,11,6024,26,570,13,108092,351,108092,4278,54873,0,0,0,0,0,0
google/apitools,90,37747,1665,19871,1859,25113,240,62970,7,52057,26,15243,120,2263,8,1,10913,214,47727,1741,22850,0,0,31,4209,453,7012,3,12569,18,8360,79,1551,1,10913,183,43518,1288,15838,4,39488,8,6883,41,712
google/mobly,56,13471,602,9194,901,11681,29,16440,2,6259,7,2652,18,395,3,1,10181,22,13788,883,11286,0,0,12,3607,339,4457,2,6259,7,2652,18,395,1,10181,10,10181,544,6829,0,0,0,0,0,0
diyan/pywinrm,11,1882,59,1430,3947,56159,214,84863,6,46449,25,9986,126,2678,12,6,38414,189,74877,3822,53481,1,998,8,1578,233,2888,2,5979,12,5399,82,1859,5,37416,181,73299,3589,50593,4,40470,13,4587,44,819
danirus/django-comments-xtd,98,4658,172,2077,12302,143463,1104,220536,5,170506,127,59175,482,7686,8,3,50030,977,161361,11848,135777,1,43097,944,153085,11339,130507,3,166133,122,56145,465,7349,2,6933,33,8276,509,5270,2,4373,5,3030,17,337
sage-bionetworks/synapsepythonclient,50,21754,803,16765,4312,54126,239,80911,5,30947,24,9937,134,2941,16,11,49964,215,70974,4179,51185,1,1682,20,2277,274,3460,2,6004,13,5409,85,1992,10,48282,195,68697,3905,47725,3,24943,11,4528,49,949
galvant/instrumentkit,118,29256,1171,14874,8606,163319,656,243066,6,43300,11,9116,51,1124,11,5,199766,645,233950,8560,162195,1,3072,95,37256,1841,26289,5,42462,10,8278,50,1122,4,196694,550,196694,6719,135906,1,838,1,838,1,2
manolomartinez/greg,5,1134,42,810,330,3416,34,6393,1,5823,7,2124,14,716,2,1,570,27,4269,316,2700,0,0,25,3699,273,2286,1,5823,7,2124,14,716,1,570,2,570,43,414,0,0,0,0,0,0
planetlabs/planet-client-python,33,6675,298,4322,3312,49814,243,72267,11,60318,71,27240,482,8584,18,7,11949,172,45027,2833,41230,2,3846,76,18368,1414,17820,5,30255,38,15733,300,5442,5,8103,96,26659,1419,23410,6,30063,33,11507,182,3142
brian-team/brian2genn,25,5233,182,3435,26458,464509,1433,822195,7,691123,73,73667,298,8583,11,4,131072,1360,748528,26161,455926,0,0,82,26794,1428,26541,2,50905,39,24111,162,4652,4,131072,1278,721734,24733,429385,5,640218,34,49556,136,3931
nrel/rdtools,14,7969,142,6133,52663,1411938,4341,1996201,14,1806097,218,336569,1750,80666,32,18,190104,4123,1659632,50956,1331272,0,0,2847,1104545,31593,914562,8,1369813,157,265268,1352,62612,18,190104,1276,555087,19363,416710,6,436284,61,71301,398,18054
nrel/hescore-hpxml,9,3426,127,3006,4795,59678,392,93930,5,86619,12,8675,31,586,9,4,7311,380,85255,4764,59092,0,0,45,8994,722,8372,2,13318,7,4324,24,460,4,7311,335,76261,4042,50720,3,73301,5,4351,7,126
noripyt/django-cachalot,42,6287,324,4774,9083,109412,895,156960,2,150027,142,62200,611,10930,4,2,6933,753,94760,8497,98482,0,0,723,86855,8058,94230,1,148290,140,61435,605,10844,2,6933,30,7905,439,4252,1,1737,2,765,6,86
pyamg/pyamg,60,19864,281,18165,10331,287518,696,390953,2,390953,61,70635,349,15070,2,0,0,635,320318,9988,272448,0,0,635,320318,9988,272637,2,390953,61,70635,349,15070,0,0,0,0,0,0,0,0,0,0,0,0
openstenoproject/plover,130,16479,1060,9975,2495,30847,163,58888,4,58280,21,8949,88,1842,5,1,608,142,49939,2411,29005,1,608,142,49939,2352,28731,3,57282,20,7951,86,1838,0,0,0,0,59,274,1,998,1,998,2,4
jopohl/urh,297,123556,3354,38342,9402,168010,401,227654,4,227654,94,117909,920,18017,4,0,0,307,109745,8529,149993,0,0,307,109745,8529,150095,4,227654,94,117909,920,18017,0,0,0,0,0,0,0,0,0,0,0,0
sfstoolbox/sfs-python,18,6346,142,5090,10251,286532,696,390959,2,390959,67,96579,395,18130,2,0,0,629,294380,9860,268402,0,0,629,294380,9860,268697,2,390959,67,96579,395,18130,0,0,0,0,0,0,0,0,0,0,0,0
docker/docker-py,69,14186,627,11289,5394,77784,299,113617,9,72656,65,30075,376,7349,15,6,40961,234,83542,5021,70435,0,0,29,4946,462,5717,3,11365,14,6419,94,2119,6,40961,205,78596,4559,64718,6,61291,51,23656,282,5230
wger-project/wger,383,38589,873,12010,18820,249294,1725,368421,18,280588,223,104507,1044,18583,36,18,87833,1502,263914,17837,230711,1,2514,147,17087,1474,16648,6,23823,23,9250,77,1195,17,85319,1355,246827,16363,214063,12,256765,200,95257,967,17388
golemhq/golem,62,11859,786,8909,16019,203136,825,318612,14,224971,80,37693,273,5665,34,20,93641,745,280919,15749,197471,0,0,38,5770,673,10509,5,16970,27,11200,73,1747,20,93641,707,275149,15076,186962,9,208001,53,26493,200,3918
jantman/awslimitchecker,51,12896,351,9372,4996,67686,265,97200,6,63165,20,11209,111,2077,12,6,34035,245,85991,4885,65609,1,2636,40,9467,427,7034,2,8457,6,1626,12,236,5,31399,205,76524,4458,58575,4,54708,14,9583,99,1841
mixpanel/mixpanel-python,5,2229,126,1713,944,22631,74,33796,4,28985,20,8578,118,2578,6,2,4811,54,25218,826,20053,0,0,8,737,217,2496,2,6433,11,5696,80,1791,2,4811,46,24481,609,17557,2,22552,9,2882,38,787
mysociety/mapit,153,10493,423,6935,15050,235312,1262,331814,5,186398,152,66617,612,10575,11,6,145416,1110,265197,14459,224737,2,3500,841,122309,10179,121619,4,184661,150,65852,606,10489,4,141916,269,142888,4280,103118,1,1737,2,765,6,86
qutip/qutip,121,39075,1123,27731,10522,290320,710,395016,3,395016,92,108751,592,25294,3,0,0,618,286265,9936,265026,0,0,618,286265,9936,265242,3,395016,92,108751,592,25294,0,0,0,0,0,0,0,0,0,0,0,0
django-cas-ng/django-cas-ng,17,1057,32,634,10261,135017,1004,199133,2,150947,55,29794,187,3100,12,10,48186,949,169339,10082,131917,1,431,817,120612,8368,100313,1,149210,53,29029,181,3014,9,47755,132,48727,1714,31604,1,1737,2,765,6,86
cookiecutter/cookiecutter,20,2431,73,1699,3203,55774,220,123892,11,106424,65,30714,247,4319,16,5,17468,155,93178,2959,51455,0,0,61,22416,1835,26201,7,46327,34,23911,169,3086,5,17468,94,70762,1124,25254,4,60097,31,6803,78,1233
naturalhistorymuseum/ckanext-ldap,17,920,39,635,5761,84164,790,147886,2,97042,24,9812,61,1149,6,4,50844,766,138074,5701,83015,2,15159,107,15159,690,8239,0,0,0,0,0,0,2,35685,659,122915,5011,74776,2,97042,24,9812,61,1149
inasafe/inasafe,464,95864,2700,61269,701,7106,126,11606,2,10808,50,6466,167,2551,3,1,798,76,5140,537,4555,0,0,51,2492,363,2834,1,7896,39,5404,146,2080,1,798,25,2648,174,1721,1,2912,11,1062,21,471
mapillary/mapillary_tools,63,12483,488,9091,3506,58185,278,87570,11,49008,44,23465,182,3845,19,8,38562,234,64105,3326,54340,1,3072,94,18586,1934,21941,9,37708,41,22194,178,3745,7,35490,140,45519,1392,32399,2,11300,3,1271,4,100
wamdam/backy2,41,10270,547,7781,13121,190178,397,292043,9,282085,106,148418,749,17239,13,4,9958,291,143625,12381,172939,0,0,250,127684,11583,164769,7,272615,103,144931,741,16912,4,9958,41,15941,798,8170,2,9470,3,3487,8,327
sasview/sasview,334,76015,3751,63078,35312,608621,2028,895971,13,696211,162,143266,966,30096,29,16,199760,1866,752705,34352,578525,2,36187,252,80448,4139,61760,4,63983,24,19722,130,2646,14,163573,1614,672257,30213,516765,9,632228,138,123544,836,27450
regionmask/regionmask,21,4450,160,3006,18061,405743,1016,537906,15,475244,211,244864,1643,54459,30,15,62662,805,293042,16456,351284,0,0,118,37564,3117,77476,4,108616,57,71052,396,9628,15,62662,687,255478,13339,273808,11,366628,154,173812,1247,44831
scrapinghub/python-scrapinghub,29,4645,329,2912,1030,23671,79,35343,5,19240,13,6950,37,688,8,3,16103,66,28393,994,22983,0,0,10,1979,234,3698,2,5758,9,3779,29,488,3,16103,56,26414,760,19285,3,13482,4,3171,8,200
scrapinghub/dateparser,272,66597,800,7504,941,16134,34,22192,4,21194,8,8371,265,3900,5,1,998,26,13821,677,12234,0,0,25,12823,616,11891,4,21194,8,8371,265,3900,1,998,1,998,61,343,0,0,0,0,0,0
yelp/pgctl,18,2495,162,1789,6046,71423,198,112686,4,112371,10,6989,68,1072,6,2,315,188,105697,5979,70351,2,315,188,105697,5979,70364,4,112371,10,6989,68,1072,0,0,0,0,0,0,0,0,0,0,0,0
cuemacro/findatapy,57,18094,500,12645,103002,1975596,7869,2986536,45,1966373,465,391886,2786,88755,139,94,1020163,7404,2594650,100255,1886841,1,48118,1199,380263,17380,358439,14,498511,212,166366,1534,47197,93,972045,6205,2214387,82875,1528402,31,1467862,253,225520,1252,41558
holoviz/datashader,42,17956,986,13912,37548,747418,1849,1021556,15,935141,278,327725,2410,77256,31,16,86415,1571,693831,35193,670162,2,33937,1311,611922,30322,606631,7,886929,256,308944,2290,74825,14,52478,260,81909,4871,63531,8,48212,22,18781,120,2431
holoviz/holoviews,139,68078,2941,47149,21193,403012,1546,626940,17,548418,303,287059,1951,55764,37,20,78522,1243,339881,19295,347248,0,0,307,98722,5647,113889,4,216147,94,117425,559,18580,20,78522,936,241159,13648,233359,13,332271,209,169634,1392,37184
holoviz/geoviews,32,7195,275,4140,33732,607376,2246,979756,13,657225,217,225797,1378,42843,48,35,322531,2029,753959,32423,564533,0,0,498,122950,6241,93184,5,176142,74,53192,282,7103,35,322531,1531,631009,26182,471349,8,481083,143,172605,1096,35740
kovacsbalu/wazeroutecalculator,6,809,54,664,882,22187,73,32714,2,16611,9,4478,16,337,5,3,16103,64,28236,866,21850,0,0,11,2120,223,3664,1,5435,7,3315,13,260,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
bugsnag/bugsnag-python,62,5280,276,3045,735,9602,18,13704,1,13704,1,1742,1,2,1,0,0,17,11962,735,9600,0,0,17,11962,735,9602,1,13704,1,1742,1,2,0,0,0,0,0,0,0,0,0,0,0,0
ekzhu/datasketch,38,6859,413,4022,10331,287518,696,390953,2,390953,32,40037,155,6543,2,0,0,664,350916,10176,280975,0,0,664,350916,10176,280975,2,390953,32,40037,155,6543,0,0,0,0,0,0,0,0,0,0,0,0
edx/i18n-tools,15,1949,89,1310,9557,115142,924,167534,3,9654,3,3876,15,168,7,4,157880,921,163658,9542,114974,1,149210,889,154988,9097,110212,3,9654,3,3876,15,168,3,8670,32,8670,445,4762,0,0,0,0,0,0
edx/codejail,11,1171,33,817,61,363,1,998,1,998,1,998,1,10,1,0,0,0,0,60,353,0,0,0,0,60,353,1,998,1,998,1,10,0,0,0,0,0,0,0,0,0,0,0,0
edx/bok-choy,12,3376,137,2698,1037,13405,119,22072,1,10828,6,1686,16,232,3,2,11244,113,20386,1021,13173,1,68,81,9210,616,5972,1,10828,6,1686,16,232,1,11176,32,11176,405,7201,0,0,0,0,0,0
edx/auth-backends,9,519,21,200,14670,183706,1455,272597,5,168312,54,19682,259,4756,20,15,104285,1401,252915,14412,178950,1,998,861,135594,8526,100528,3,152934,50,18338,249,4656,14,103287,540,117321,5886,78422,2,15378,4,1344,10,100
edx/xblock-utils,12,1294,73,809,5046,67571,283,97709,5,43341,20,9205,136,3362,14,9,54368,263,88504,4911,64209,0,0,43,6750,803,7630,3,15445,18,8695,126,3259,9,54368,220,81754,4108,56579,2,27896,2,510,10,103
edx/edx-drf-extensions,31,2080,91,1234,20608,268360,1770,395855,13,293516,100,39324,413,6695,30,17,102339,1670,356531,20200,261665,3,10912,1013,160042,10225,124754,5,178261,81,29131,346,5550,14,91427,657,196489,9975,136911,8,115255,19,10193,67,1145
edx/xblock,20,4951,323,3242,4118,56684,222,82264,8,63614,8,5697,44,1146,11,3,18650,214,76567,4074,55538,2,18042,146,48663,2618,36208,6,35078,6,4457,40,1123,1,608,68,27904,1456,19330,2,28536,2,1240,4,23
edx/django-config-models,21,1188,55,561,15829,199446,1471,294677,4,171228,79,40586,326,5766,17,13,123449,1392,254091,15516,193680,0,0,910,129670,9340,111274,3,169491,77,39821,320,5680,13,123449,482,124421,6176,82406,1,1737,2,765,6,86
edx/xblock-lti-consumer,69,9248,256,5479,30194,402941,2540,603144,29,450034,240,108966,1253,24472,52,23,153110,2300,494178,28973,378469,4,4104,1137,185204,13295,158543,12,263700,190,82600,1012,20329,19,149006,1163,308974,15678,219926,17,186334,50,26366,241,4143
edx/edx-proctoring,72,11511,358,7142,35233,438780,2778,663048,25,406110,176,73112,608,9921,62,37,256938,2602,589936,34645,428859,1,286,283,62553,3031,38611,8,65166,14,2899,35,715,36,256652,2319,527383,31614,390248,17,340944,162,70213,573,9206
edx/edx-enterprise,603,57438,1597,28486,40588,535279,3222,809147,37,421150,267,115101,1218,21917,84,47,387997,2955,694046,39417,513362,9,98194,707,161532,9933,115034,18,86909,58,23571,253,5476,38,289803,2248,532514,29484,398328,19,334241,209,91530,965,16441
edx/edx-search,17,1755,64,1135,27075,342427,2200,512257,5,186477,80,31162,320,5606,41,36,325780,2120,481095,26757,336821,1,685,130,32936,1058,22853,2,33440,4,1189,18,411,35,325095,1990,448159,25699,313968,3,153037,76,29973,302,5195
kyper-data/python-highcharts,21,7374,268,2896,2649,34092,252,54904,2,54537,5,3925,15,393,3,1,367,247,50979,2634,33699,0,0,245,50612,2600,33487,2,54537,5,3925,15,393,1,367,2,367,34,212,0,0,0,0,0,0
hylang/hy,24,7427,387,5331,66,875,4,1169,1,1169,1,885,12,243,1,0,0,3,284,55,632,0,0,3,284,55,668,1,1169,1,885,12,243,0,0,0,0,0,0,0,0,0,0,0,0
ggtracker/sc2reader,44,11846,616,8975,1193,21787,97,31504,2,31504,3,4342,17,390,2,0,0,94,27162,1176,21397,0,0,94,27162,1176,21397,2,31504,3,4342,17,390,0,0,0,0,0,0,0,0,0,0,0,0
