product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,reachable_dependencies,reachable_dependencies_loc,reachable_dependency_files,reachable_dependency_files_loc,reachable_dependency_functions,reachable_dependency_functions_loc,total_dependencies_count,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,bloated_deps_count_1,bloated_deps_loc_1,bloated_files_count_1,bloated_files_loc_1,bloated_functions_count_1,bloated_functions_loc_1,used_direct_deps_count_1,used_direct_deps_loc_1,used_direct_files_count_1,used_direct_files_loc_1,used_direct_functions_count_1,used_direct_functions_loc_1,transitive_bloated_dependencies_count,transitive_bloated_dependencies_loc,transitive_bloated_files_count,transitive_bloated_files_loc,transitive_bloated_functions_count,transitive_bloated_functions_loc,transitive_used_dependencies_count,transitive_used_dependencies_loc,transitive_used_files_count,transitive_used_files_loc,transitive_used_functions_count,transitive_used_functions_loc
storaged-project/blivet,137,40457,2444,27212,256,3062,25,5681,2,5681,10,4217,38,596,2,0,0,15,1464,219,2466,0,0,15,1464,219,2488,2,5681,10,4217,38,596,0,0,0,0,0,0,0,0,0,0,0,0
junzis/pymodes,41,6651,198,5167,4343,105331,315,146111,2,146111,20,31332,89,3871,2,0,0,295,114779,4255,101460,0,0,295,114779,4255,101467,2,146111,20,31332,89,3871,0,0,0,0,0,0,0,0,0,0,0,0
pexpect/pexpect,24,5446,251,3887,40,849,4,995,1,995,2,920,8,329,1,0,0,2,75,32,520,0,0,2,75,32,520,1,995,2,920,8,329,0,0,0,0,0,0,0,0,0,0,0,0
micropyramid/django-mfa,29,1375,59,625,13220,161349,1095,318165,3,152381,102,43701,382,6490,18,15,165784,993,274464,12846,154859,1,324,790,108032,8260,97276,2,150644,100,42936,376,6404,14,165460,203,166432,4586,57583,1,1737,2,765,6,86
micropyramid/forex-python,4,411,25,274,945,23773,82,34758,3,18655,12,5509,23,539,6,3,16103,70,29249,922,23234,0,0,17,3133,279,5048,2,7479,10,4346,20,462,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
sethblack/python-seo-analyzer,9,957,31,625,2491,45088,145,65369,6,50965,26,15279,134,3800,10,4,14404,119,50090,2357,41288,1,5435,73,24609,1582,22175,3,28289,8,9115,51,1589,3,8969,46,25481,775,19113,3,22676,18,6164,83,2211
python-beaver/python-beaver,21,1918,87,1459,5033,88271,376,116199,0,0,0,0,0,0,1,1,116199,376,116199,5033,88271,1,116199,376,116199,5033,88271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ics-py/ics-py,34,5709,381,3108,991,14035,80,20242,4,18546,28,12546,112,2156,6,2,1696,52,7696,903,11879,0,0,29,4393,468,9258,3,13116,10,8723,32,1009,2,1696,23,3303,435,2621,1,5430,18,3823,80,1147
axiros/terminal_markdown_viewer,6,2957,90,2031,1447,19065,346,126145,3,125732,23,8211,67,905,4,1,413,323,117934,1380,18160,0,0,314,116995,1203,17081,2,124156,21,7161,60,846,1,413,9,939,177,1079,1,1576,2,1050,7,59
mdanalysis/griddataformats,9,5188,166,2790,10436,289680,711,394102,3,394102,28,32115,111,4930,3,0,0,683,361987,10327,284750,0,0,683,361987,10327,285052,3,394102,28,32115,111,4930,0,0,0,0,0,0,0,0,0,0,0,0
pytroll/satpy,191,60570,2978,40416,30996,703928,1788,936988,26,880353,352,380253,2995,96488,43,17,56635,1436,556735,28047,607440,0,0,447,143931,10895,228761,12,372263,214,228332,1751,56116,17,56635,989,412804,17152,378679,14,508090,138,151921,1244,40372
pytroll/pyresample,51,18164,737,13372,6531,141749,407,194991,8,193455,71,71399,343,14580,11,3,1536,336,123592,6193,127169,0,0,125,38105,2380,38636,6,57887,29,19782,128,3545,3,1536,211,85487,3813,88533,2,135568,42,51617,215,11035
renanivo/pytest-testdox,8,481,27,289,1997,26005,93,36885,1,29250,2,2256,14,178,6,5,7635,91,34629,1983,25827,0,0,57,26994,1614,20734,1,29250,2,2256,14,178,5,7635,34,7635,369,5093,0,0,0,0,0,0
docnow/twarc,62,13538,373,9470,2576,52836,234,74810,13,70083,57,29108,305,7252,15,2,4727,177,45702,2274,45584,0,0,47,8307,914,14737,6,23929,27,15622,140,3057,2,4727,130,37395,1360,30847,7,46154,30,13486,165,4195
gns3/gns3-gui,333,203845,2275,46226,4187,57213,249,83422,5,62347,20,16215,198,2718,9,4,21075,229,67207,3990,54495,0,0,159,46132,3011,40152,5,62347,20,16215,198,2718,4,21075,70,21075,979,14343,0,0,0,0,0,0
snowflakedb/snowflake-connector-python,129,38649,1703,26686,8159,127960,526,196270,17,195694,98,58446,428,9668,18,1,576,428,137824,7747,118292,1,576,364,105938,6464,94449,12,156976,83,51614,370,7871,0,0,64,31886,1283,23843,5,38718,15,6832,58,1797
snowflakedb/snowflake-ingest-python,10,676,28,374,10115,156850,669,238409,7,42419,30,13807,115,1828,23,16,195990,639,224602,10000,155022,1,37605,137,39561,1835,27931,2,4297,4,2341,48,795,15,158385,502,185041,8165,127091,5,38122,26,11466,67,1033
scitools/iris-grib,10,7054,212,5782,33691,689835,1976,1012481,14,663204,125,143643,891,29756,41,27,349277,1851,868838,32808,660079,0,0,162,100365,3547,77238,3,115933,12,15568,67,1738,27,349277,1689,768473,29261,582841,11,547271,113,128075,824,28018
scitools/cf-units,12,4411,209,3251,5339,115129,324,160448,3,159905,14,10790,86,1533,5,2,543,310,149658,5253,113596,1,176,73,17896,1443,15355,2,25920,11,8200,82,1336,1,367,237,131762,3810,98241,1,133985,3,2590,4,197
scitools/cartopy,33,14359,523,11219,14726,276872,913,451437,7,321763,97,108181,575,22636,17,10,129674,816,343256,14160,254236,1,2671,367,180380,7176,149859,4,279068,91,101359,541,21430,9,127003,449,162876,6984,104377,3,42695,6,6822,34,1206
tencent/qtaf,49,12274,687,8086,248,4619,7,6713,1,5715,2,4600,95,2305,2,1,998,5,2113,153,2314,1,998,5,2113,153,2314,1,5715,2,4600,95,2305,0,0,0,0,0,0,0,0,0,0,0,0
altair-viz/altair,51,54058,1632,14149,11233,255210,606,339540,7,323435,120,160933,1031,35591,15,8,16105,486,178607,10237,219619,0,0,409,159925,9494,210375,6,320799,119,160874,1030,35570,8,16105,77,18682,743,9244,1,2636,1,59,1,21
dschep/ntfy,29,1570,43,1072,1702,34032,103,47867,3,17219,10,5086,25,651,7,4,30648,93,42781,1677,33381,1,14545,40,16665,1034,15195,2,6043,8,3923,22,574,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
