Identifier,Package,VersionConstraint
GHSA-rh6c-jh4c-9fg3,mailman,">= 0,< 2.1.5"
GHSA-2gwj-7jmv-h26r,Django,">= 2.2,< 2.2.28"
GHSA-2gwj-7jmv-h26r,Django,">= 3.2,< 3.2.13"
GHSA-2gwj-7jmv-h26r,Django,">= 4.0,< 4.0.4"
GHSA-7vrm-3jc8-5wwm,vyper,">= 0,< 0.3.2"
GHSA-m269-wj6g-c459,pysaml2,">= 0,< 4.5.0"
GHSA-h896-6hcp-gj6c,bodhi,">= 0,< 2.9.1"
GHSA-pvhv-qwc8-r2pg,plone,">= 0,< 4.2.3"
GHSA-pvhv-qwc8-r2pg,plone,">= 4.3a1,< 4.3b1"
GHSA-q46g-v7r4-9vhr,plone,">= 0,< 4.2.3"
GHSA-q46g-v7r4-9vhr,plone,">= 4.3a1,< 4.3b1"
GHSA-x23q-4j9j-9cxw,ops-cli,">= 0,< 2.0.5"
GHSA-5wpj-c6f7-24x8,tensorflow,">= 0,< 2.6.4"
GHSA-5wpj-c6f7-24x8,tensorflow,">= 2.7.0,< 2.7.2"
GHSA-5wpj-c6f7-24x8,tensorflow,">= 2.8.0,< 2.8.1"
GHSA-5wpj-c6f7-24x8,tensorflow-cpu,">= 0,< 2.6.4"
GHSA-5wpj-c6f7-24x8,tensorflow-cpu,">= 2.7.0,< 2.7.2"
GHSA-5wpj-c6f7-24x8,tensorflow-cpu,">= 2.8.0,< 2.8.1"
GHSA-5wpj-c6f7-24x8,tensorflow-gpu,">= 0,< 2.6.4"
GHSA-5wpj-c6f7-24x8,tensorflow-gpu,">= 2.7.0,< 2.7.2"
GHSA-5wpj-c6f7-24x8,tensorflow-gpu,">= 2.8.0,< 2.8.1"
GHSA-chvw-gjxf-f8mc,Plone,">= 5.0a1,< 5.0.7"
GHSA-chvw-gjxf-f8mc,Plone,">= 3.3a1,< 4.3.12"
GHSA-3m8p-xpm6-8ww3,ansible,">= 0,< 2.3"
GHSA-qh9x-mc42-vg4g,django-anymail,">= 0.2,< 1.4"
GHSA-rv25-9wgj-xg75,apache-airflow,">= 0,< 1.9.0"
GHSA-7q8x-38mc-p84f,mako,">= 0,< 0.3.4"
GHSA-chg9-3c3p-ch23,lemur,">= 0,< 0.1.5"
GHSA-78vx-ggch-wghm,django,">= 0,< 1.3.2"
GHSA-78vx-ggch-wghm,django,">= 1.4,< 1.4.1"
GHSA-fc72-v54c-x9jg,moin,">= 1.9.0,< 1.9.3"
GHSA-fc72-v54c-x9jg,moin,">= 1.8.0,< 1.8.8"
GHSA-j6f7-g425-4gmx,pillow,">= 0,< 2.5.3"
GHSA-q48q-77qv-cf9p,httplib2,">= 0,< 0.10.1"
GHSA-wmhw-fvg9-87fc,glance,">= 0,<= 11.0.0"
GHSA-657p-cj5r-mjrh,salt,">= 0,< 2016.3.8"
GHSA-657p-cj5r-mjrh,salt,">= 2016.11.0,< 2016.11.8"
GHSA-657p-cj5r-mjrh,salt,">= 2017.7.0,< 2017.7.2"
GHSA-cw58-gpgw-hwx2,Plone,">= 4.3,< 4.3.20"
GHSA-cw58-gpgw-hwx2,Plone,">= 5.0rc1,< 5.1.7"
GHSA-cw58-gpgw-hwx2,Plone,">= 5.2.0,< 5.2.2"
GHSA-3g56-2hh3-35ph,sosreport,">= 0,< 3.3"
GHSA-rm2j-x595-q9cj,django,">= 0,< 1.2.7"
GHSA-rm2j-x595-q9cj,django,">= 1.3.0,< 1.3.1"
GHSA-4g82-3jcr-q52w,ctx,">= 0,<= 0.1.4"
GHSA-6rrm-xxvh-7r87,glance,">= 0,< 11.0.0a0"
