project,package_name,dependency_type,activation_status
morucci/repoxplorer,pycrypto,Direct,Active
morucci/repoxplorer,certifi,Transitive,Bloated
morucci/repoxplorer,cryptography,Transitive,Inactive
sunscrapers/djoser,certifi,Transitive,Bloated
sunscrapers/djoser,cryptography,Transitive,Bloated
fizzadar/pyinfra,certifi,Transitive,Bloated
fizzadar/pyinfra,cryptography,Transitive,Inactive
aws/aws-parallelcluster,certifi,Direct,Bloated
scrapy-plugins/scrapy-zyte-smartproxy,certifi,Transitive,Bloated
scrapy-plugins/scrapy-zyte-smartproxy,scrapy,Direct,Bloated
scrapy-plugins/scrapy-zyte-smartproxy,cryptography,Transitive,Bloated
cs50/help50,cryptography,Transitive,Bloated
cs50/help50,certifi,Transitive,Bloated
gandi/gandi.cli,certifi,Transitive,Bloated
staticafi/symbiotic,certifi,Transitive,Bloated
cve-search/cve-search,certifi,Transitive,Undefined
feeicn/cobra,certifi,Transitive,Bloated
flyingrub/scdl,certifi,Transitive,Bloated
django-salesforce/django-salesforce,certifi,Transitive,Bloated
spacetelescope/drizzlepac,cryptography,Transitive,Bloated
spacetelescope/drizzlepac,PyPDF2,Direct,Inactive
spacetelescope/drizzlepac,certifi,Transitive,Undefined
theqrl/qrl,PyYAML,Direct,Bloated
theqrl/qrl,certifi,Transitive,Bloated
theqrl/qrl,cryptography,Transitive,Undefined
theqrl/qrl,grpcio,Transitive,Undefined
comictagger/comictagger,certifi,Transitive,Bloated
gregreen/dustmaps,certifi,Transitive,Undefined
20c/vaping,certifi,Transitive,Bloated
20c/vaping,Werkzeug,Direct,Bloated
mopidy/mopidy-spotify,certifi,Transitive,Bloated
evonove/mkm-sdk,certifi,Transitive,Bloated
dalibo/temboard,cryptography,Direct,Inactive
zestedesavoir/zds-site,Django,Direct,Active
zestedesavoir/zds-site,aiohttp,Transitive,Bloated
zestedesavoir/zds-site,cryptography,Transitive,Bloated
zestedesavoir/zds-site,certifi,Transitive,Bloated
lyft/confidant,certifi,Transitive,Bloated
lyft/confidant,cryptography,Direct,Inactive
samuelcolvin/grablib,certifi,Transitive,Bloated
open-power/op-test,certifi,Transitive,Bloated
smartsheet-platform/smartsheet-python-sdk,certifi,Transitive,Undefined
cuthbertlab/music21,certifi,Transitive,Bloated
googlecloudplatform/perfkitbenchmarker,cryptography,Transitive,Bloated
googlecloudplatform/perfkitbenchmarker,certifi,Transitive,Bloated
googlecloudplatform/cloud-debug-python,certifi,Transitive,Bloated
googlecloudplatform/cloud-debug-python,cryptography,Transitive,Bloated
jarun/buku,cryptography,Direct,Bloated
safetyculture/safetyculture-sdk-python,certifi,Transitive,Bloated
safetyculture/safetyculture-sdk-python,cryptography,Transitive,Bloated
beeware/briefcase,certifi,Transitive,Bloated
mfussenegger/cr8,aiohttp,Direct,Inactive
tuxemon/tuxemon,certifi,Transitive,Bloated
insrapperswil/nuts,certifi,Transitive,Bloated
insrapperswil/nuts,cryptography,Transitive,Bloated
insrapperswil/nuts,py,Transitive,Bloated
datalad/datalad,certifi,Transitive,Bloated
datalad/datalad,cryptography,Transitive,Bloated
hadrieng/insilicoseq,certifi,Transitive,Bloated
mechanicalsoup/mechanicalsoup,certifi,Transitive,Bloated
k4cg/nichtparasoup,Werkzeug,Direct,Inactive
openidc/pyoidc,certifi,Transitive,Bloated
openidc/pyoidc,cryptography,Direct,Inactive
freakboy3742/pyxero,certifi,Transitive,Bloated
freakboy3742/pyxero,cryptography,Direct,Bloated
city-of-helsinki/respa,certifi,Direct,Bloated
city-of-helsinki/respa,cryptography,Direct,Inactive
learningequality/studio,Django,Direct,Active
learningequality/studio,certifi,Direct,Bloated
danielperna84/ha-philipsjs,cryptography,Direct,Inactive
danielperna84/ha-philipsjs,certifi,Transitive,Undefined
packethost/packet-python,certifi,Transitive,Bloated
osmcode/pyosmium,certifi,Transitive,Bloated
goldmann/docker-squash,certifi,Transitive,Bloated
xtrinch/fcm-django,cryptography,Transitive,Bloated
xtrinch/fcm-django,certifi,Transitive,Bloated
relekang/python-semantic-release,certifi,Transitive,Bloated
relekang/python-semantic-release,cryptography,Transitive,Bloated
plantbreeding/api,certifi,Transitive,Bloated
dmtf/python-redfish-library,certifi,Transitive,Bloated
dmtf/redfish-interface-emulator,certifi,Transitive,Bloated
redhatqe/widgetastic.core,certifi,Transitive,Bloated
redhatqe/wrapanapi,cryptography,Transitive,Inactive
redhatqe/wrapanapi,certifi,Transitive,Undefined
cokelaer/bioservices,certifi,Transitive,Bloated
napalm-automation/napalm,certifi,Transitive,Bloated
napalm-automation/napalm,cryptography,Transitive,Bloated
identitypython/pysaml2,certifi,Transitive,Bloated
identitypython/pysaml2,cryptography,Direct,Inactive
identitypython/djangosaml2,certifi,Transitive,Bloated
identitypython/djangosaml2,cryptography,Transitive,Inactive
darknessomi/musicbox,certifi,Transitive,Bloated
mvexel/overpass-api-python-wrapper,certifi,Transitive,Bloated
poppy-project/pypot,certifi,Transitive,Bloated
kalaspuff/tomodachi,aiohttp,Transitive,Active
transifex/transifex-client,certifi,Transitive,Bloated
geopandas/geopandas,certifi,Transitive,Bloated
obsidianforensics/hindsight,certifi,Transitive,Bloated
streamlink/streamlink,certifi,Direct,Undefined
sunpy/sunpy,aiohttp,Transitive,Inactive
opsdroid/opsdroid,aiohttp,Direct,Active
http-apis/hydrus,certifi,Transitive,Bloated
http-apis/hydrus,Werkzeug,Transitive,Inactive
jswhit/pygrib,certifi,Transitive,Bloated
python-gitlab/python-gitlab,certifi,Transitive,Bloated
marketsquare/robotframework-requests,certifi,Transitive,Bloated
hvac/hvac,certifi,Transitive,Bloated
metomi/rose,certifi,Transitive,Bloated
plamere/spotipy,certifi,Transitive,Bloated
pnx-si/taxhub,certifi,Transitive,Bloated
pnx-si/taxhub,cryptography,Transitive,Bloated
locustio/locust,certifi,Transitive,Bloated
darkreactions/drp,certifi,Transitive,Bloated
whaleshark-team/cobra,certifi,Transitive,Bloated
thombashi/tcconfig,certifi,Transitive,Bloated
redcap-tools/pycap,certifi,Transitive,Bloated
nandaka/pixivutil2,certifi,Direct,Undefined
hhursev/recipe-scrapers,certifi,Transitive,Bloated
jsvine/pdfplumber,cryptography,Transitive,Bloated
mikf/gallery-dl,certifi,Transitive,Bloated
pyupio/safety,certifi,Transitive,Bloated
geotab/mygeotab-python,certifi,Transitive,Bloated
geotab/mygeotab-python,aiohttp,Direct,Inactive
koalalorenzo/python-digitalocean,certifi,Transitive,Bloated
hugapi/hug,certifi,Transitive,Bloated
gocardless/gocardless-pro-python,certifi,Transitive,Bloated
pkkid/python-plexapi,certifi,Transitive,Bloated
cytomine/cytomine-python-client,certifi,Transitive,Bloated
barronh/pseudonetcdf,certifi,Transitive,Bloated
python-social-auth/social-core,certifi,Transitive,Bloated
python-social-auth/social-core,cryptography,Direct,Inactive
jrxfive/python-nomad,certifi,Transitive,Bloated
